Date,TLT_Open,TLT_High,TLT_Low,TLT_Close,TLT_Volume,TLT_ATRPercentOfClose20,TLT_SQN25,TLT_SQN50,TLT_SQN100,TLT_SQN200,TLT_MACD,TLT_MACD_Avg,TLT_MACD_Diff,TLT_LinReg10,TLT_LinReg30,TLT_LinReg90,TLT_LinReg270
6/13/2017, 124.01, 124.52, 123.99, 124.38, 4742571, 0.689958798415024, 1.23945527976494, 0.78465053430819, 0.586948056716817, 0, 0.694108765217592, 0.732198729956012, -0.0380899647384192, 124.550000000001, 125.352279569892, 123.978805860805, 123.258803729456
6/14/2017, 125.92, 126.71, 125.73, 126.3, 20212287, 0.737737304667598, 1.62903071427876, 0.927231972679676, 0.845239579823867, 0, 0.80013854744152, 0.745786693453113, 0.0543518539884068, 125.03290909091, 125.686322580644, 124.139572649572, 123.400288775035
6/15/2017, 126.09, 126.33, 125.83, 126.1, 5863708, 0.721787553533242, 1.61150757026945, 1.03053259140942, 0.670051379698278, 0, 0.85813751018172, 0.768256856798835, 0.0898806533828854, 125.293090909092, 125.97064516129, 124.302249084249, 123.530390541571
6/16/2017, 126.08, 126.44, 126.01, 126.35, 6672543, 0.701357657107358, 1.68454836392358, 1.00528319043735, 0.815925862284143, 0, 0.913741968053046, 0.797353879049677, 0.116388089003369, 125.827272727274, 126.2188172043, 124.490735042735, 123.664994002998
6/19/2017, 126.32, 126.48, 126.03, 126.17, 5641338, 0.685073416634215, 1.39008586152314, 1.00679472189801, 1.01627043152332, 0, 0.932534726008598, 0.824390048441461, 0.108144677567137, 126.103454545456, 126.418129032257, 124.703584859584, 123.789283819628
6/20/2017, 126.79, 127.4, 126.79, 127.3, 8405680, 0.693353710352726, 1.77137809653041, 1.31039196022927, 1.09874171172614, 0, 1.02677367054919, 0.864866772863007, 0.161906897686183, 126.833454545456, 126.685333333333, 124.931616605616, 123.947864696509
6/21/2017, 127.11, 127.65, 126.9, 127.56, 5914825, 0.686741384144771, 1.7159901715823, 1.25179230711691, 1.07428451663259, 0, 1.10964721774708, 0.913822861839822, 0.19582435590726, 127.436181818183, 126.941827956988, 125.164717948717, 124.110317618573
6/22/2017, 127.71, 127.87, 127.31, 127.84, 6608055, 0.672877772320335, 1.43631275432712, 1.09781330787605, 1.16062032032634, 0, 1.18426726506456, 0.96791174248477, 0.216355522579792, 127.925636363638, 127.179741935483, 125.396632478632, 124.277155462185
6/23/2017, 127.47, 127.9, 127.4, 127.78, 4329910, 0.659098917614337, 1.36974230369643, 0.955958419311481, 1.04499910857186, 0, 1.2244480170647, 1.01921899740076, 0.205229019663946, 128.179090909092, 127.362559139784, 125.601125763125, 124.437016528925
6/26/2017, 128.27, 128.57, 128.16, 128.26, 5541628, 0.654597510588819, 1.41975601715661, 0.971626513440481, 1.25485680094397, 0, 1.28026543795296, 1.0714282855112, 0.208837152441765, 128.406000000001, 127.619849462365, 125.808319902319, 124.607783498171
