Date,IHE_Open,IHE_High,IHE_Low,IHE_Close,IHE_Volume,IHE_ATRPercentOfClose20,IHE_SQN25,IHE_SQN50,IHE_SQN100,IHE_SQN200,IHE_MACD,IHE_MACD_Avg,IHE_MACD_Diff,IHE_LinReg10,IHE_LinReg30,IHE_LinReg90,IHE_LinReg270
3/31/2017, 151.54, 151.8, 150.94, 150.94, 11009, 1.20309100193662, -0.350549900587526, 1.0284930449357, 0, 0, 0.218401222420454, 0.462807519820526, -0.244406297400072, 151.93490909091, 151.19088172043, 154.678172043011, 154.678172043011
4/3/2017, 150.94, 150.98, 149.98, 150.4, 9589, 1.18028476090889, -0.696672879478767, 1.14205593257178, 0, 0, 0.099542932676087, 0.390154602391638, -0.290611669715551, 151.917454545455, 150.952924731183, 154.602470238095, 154.602470238095
4/4/2017, 150.35, 150.95, 149.85, 150.26, 6539, 1.15891845227381, -0.461768389767575, 1.24209275821926, 0, 0, -0.00588214256723063, 0.310947253399864, -0.316829395967095, 151.371818181819, 150.682666666667, 154.520822115385, 154.520822115385
4/5/2017, 150.58, 151.39, 149.18, 149.56, 14888, 1.18000890817551, -0.873940339737638, 1.31740713627922, 0, 0, -0.144253558868201, 0.219907090946251, -0.364160649814452, 150.589636363637, 150.305462365591, 154.4, 154.4
4/6/2017, 149.55, 150.58, 149.41, 150.34, 7815, 1.15410420175198, -0.636206025975545, 1.29391287665519, 0, 0, -0.188798075242289, 0.138166057708543, -0.326964132950832, 150.116363636364, 150.100322580645, 154.330361827228, 154.330361827228
4/7/2017, 150.11, 152.51, 150.11, 152.4, 12485, 1.16031905778755, -0.366724158896595, 1.63182164080905, 0, 0, -0.0572155957605389, 0.0990897270147268, -0.156305322775266, 150.335272727273, 150.19870967742, 154.383309920983, 154.383309920983
4/10/2017, 152.19, 153.22, 151.9, 151.9, 10795, 1.14938112696828, -0.180587105634118, 1.44667087996949, 0, 0, 0.00664208013839129, 0.0806001976394597, -0.0739581175010684, 150.738727272728, 150.34823655914, 154.403593350384, 154.403593350384
4/11/2017, 151.47, 151.47, 150.51, 151.25, 6057, 1.14255499852667, -0.127860835781113, 1.50563464847932, 0, 0, 0.00474547772145684, 0.0654292536558591, -0.0606837759344023, 150.990363636364, 150.31688172043, 154.38481573499, 154.38481573499
4/12/2017, 151.36, 151.7, 150.32, 151.1, 5714, 1.1321698964315, -0.284855494075621, 1.16742273099983, 0, 0, -0.0087603558271212, 0.0505913317592631, -0.0593516875863843, 151.29490909091, 150.390129032258, 154.357436619718, 154.357436619718
4/13/2017, 150.81, 151.65, 150.81, 151.06, 4316, 1.10364972714988, -0.340980375671849, 1.01386398383239, 0, 0, -0.0224328994241034, 0.0359864855225898, -0.0584193849466932, 151.466727272728, 150.442946236559, 154.32808685446, 154.32808685446
4/17/2017, 150.81, 150.86, 150.13, 150.59, 11647, 1.08261811138918, -0.471036544097137, 0.784746967754042, 0, 0, -0.0703822381462658, 0.0147127407888187, -0.0850949789350844, 151.356181818183, 150.496494623656, 154.273515981735, 154.273515981735
4/18/2017, 149.42, 149.42, 147.98, 148.65, 8296, 1.12969988781966, -0.702658328864328, 0.371876897513386, 0, 0, -0.261905141838611, -0.0406108357366672, -0.221294306101943, 150.486545454546, 150.214430107527, 154.116364309515, 154.116364309515
4/19/2017, 148.92, 149.92, 148.62, 149.03, 11755, 1.1140937657396, -0.378645869883742, 0.333850487701822, 0, 0, -0.378660634568064, -0.108220795502947, -0.270439839065117, 149.815636363637, 149.943612903226, 153.985697297297, 153.985697297297
4/20/2017, 149.13, 149.74, 148.7, 149.59, 11931, 1.08918861028654, -0.785930676181068, 0.518622168823159, 0, 0, -0.421148150130222, -0.170806266428402, -0.25034188370182, 149.265272727274, 149.817376344086, 153.8894, 153.8894
4/21/2017, 149.15, 149.15, 147.85, 148.32, 7102, 1.10224607606611, -0.857807505254669, 0.165914110985983, 0, 0, -0.550947221865528, -0.246834457515827, -0.304112764349701, 148.430545454546, 149.571741935484, 153.731062884484, 153.731062884484
4/24/2017, 150, 150.41, 149.37, 150.02, 23185, 1.10492521731782, -0.26930686619983, 0.239911889225366, 0, 0, -0.510750514856227, -0.299617668983907, -0.21113284587232, 148.705272727274, 149.595010752688, 153.665604395604, 153.665604395604
4/25/2017, 150.47, 151.01, 150, 150.69, 17516, 1.07852436821898, -0.302444367236578, 0.265036684812377, 0, 0, -0.419989556203859, -0.323692046427897, -0.0962975097759619, 149.241272727274, 149.70159139785, 153.635962349886, 153.635962349886
4/26/2017, 150.93, 153.01, 150.93, 152.59, 7017, 1.08786090303803, 0.600522102433505, 0.427475152899767, 0, 0, -0.192527385679028, -0.297459114278124, 0.104931728599095, 150.369636363637, 149.948838709677, 153.701259493671, 153.701259493671
