Date,IGV_Open,IGV_High,IGV_Low,IGV_Close,IGV_Volume,IGV_ATRPercentOfClose20,IGV_SQN25,IGV_SQN50,IGV_SQN100,IGV_SQN200,IGV_MACD,IGV_MACD_Avg,IGV_MACD_Diff,IGV_LinReg10,IGV_LinReg30,IGV_LinReg90,IGV_LinReg270
8/2/2017, 142.95, 142.95, 139.59, 140.8, 156702, 1.25628720996049, 0.459519309926548, 0.567336376497591, 1.42497688905646, 0, 1.13446550137326, 1.39921905852567, -0.264753557152411, 141.936909090906, 143.458172043011, 144.32726007326, 144.594057731201
8/3/2017, 141.21, 142, 140.73, 141.64, 85654, 1.23122689356337, 0.374722353142166, 0.610534008032674, 1.41276396909293, 0, 1.00451761605368, 1.32027877003127, -0.315761153977593, 141.541272727269, 143.508752688172, 144.390964590965, 144.719344277163
8/4/2017, 142.21, 142.48, 141.12, 141.56, 240132, 1.2183627320154, 0.846209654408614, 0.447611273247109, 1.47176491601289, 0, 0.884877334210103, 1.23319848286704, -0.348321148656933, 141.101090909088, 143.638150537635, 144.454854700855, 144.838899328859
8/7/2017, 141.83, 142.02, 141.19, 141.55, 94795, 1.1868446268237, 0.833839286522518, 0.294320373331598, 1.39999239294522, 0, 0.780260277674984, 1.14261084182863, -0.362350564153642, 140.875818181815, 143.804021505377, 144.520346764347, 144.954744370861
8/8/2017, 141.3, 141.84, 140.34, 140.73, 134219, 1.18736562268564, 1.08867850831224, 0.268858856962262, 1.26909793239737, 0, 0.623990386911856, 1.03888675084527, -0.414896363933415, 140.608545454542, 143.817247311828, 144.537377289378, 145.04574677588
8/9/2017, 139.77, 140.6, 139.01, 140.45, 288583, 1.19147786312939, 0.758925338833455, 0.207773635200523, 1.22423706956653, 0, 0.472109527916132, 0.925531306259444, -0.453421778343312, 140.617999999997, 143.61911827957, 144.533655677656, 145.126710526316
8/10/2017, 139.47, 139.87, 137.49, 137.65, 229313, 1.2624476032161, 0.394395041667916, -0.0541551485222912, 0.991704641859488, 0, 0.124372563997355, 0.765299557807026, -0.640926993809671, 139.436545454542, 143.143462365592, 144.383965811966, 145.132691622103
8/11/2017, 137.14, 139.43, 137.14, 139.08, 77256, 1.26932065684183, 0.298185545081574, -0.0073996238170502, 1.34594803416784, 0, -0.0354142033349945, 0.605156805578622, -0.640571008913616, 138.997272727269, 142.685483870968, 144.283487179487, 145.174675324675
8/14/2017, 141.21, 141.57, 140.49, 141.32, 112327, 1.27483909641865, 0.522140713192867, 0.0901796806540868, 1.43700041911522, 0, 0.0184897732944762, 0.487823399121793, -0.469333625827317, 139.433818181815, 142.500494623656, 144.270202686203, 145.272332506203
8/15/2017, 141.57, 141.58, 140.71, 141.4, 74373, 1.24117572878776, 0.486064748670247, 0.0872153185143914, 1.44911273541247, 0, 0.0668932903312793, 0.40363737736369, -0.336744087032411, 140.039272727269, 142.168365591398, 144.256691086691, 145.369218520333
8/16/2017, 141.87, 143.15, 141.47, 142.88, 87983, 1.22814344658497, 0.275308517803857, 0.256382423467238, 1.5423807802639, 0, 0.222116635128458, 0.367333228916644, -0.145216593788186, 140.857090909087, 142.091161290323, 144.297013431014, 145.500688543094
