Date,VNQI_Open,VNQI_High,VNQI_Low,VNQI_Close,VNQI_Volume,VNQI_ATRPercentOfClose20,VNQI_SQN25,VNQI_SQN50,VNQI_SQN100,VNQI_SQN200,VNQI_MACD,VNQI_MACD_Avg,VNQI_MACD_Diff,VNQI_LinReg10,VNQI_LinReg30,VNQI_LinReg90,VNQI_LinReg270
4/16/2018, 61.3, 61.38, 61.16, 61.33, 286825, 1.03153635791342, 0.277207265258846, -0.391560425245728, 0.319424475466584, 0.589548089377139, 0.257327732067658, 0.149310347503913, 0.108017384563745, 61.6761818181767, 61.2301935483861, 60.6615238095243, 62.6269632362988
4/17/2018, 61.2, 61.53, 61.16, 61.45, 200507, 1.00815164506572, 0.294461436671412, -0.132908105172945, 0.317123281990212, 0.630087905366805, 0.262855701682732, 0.172019418339677, 0.090836283343055, 61.6407272727221, 61.2613548387086, 60.6658949938955, 62.6249730763972
4/18/2018, 61.5, 61.69, 61.45, 61.6, 171682, 0.974892413308829, 0.485623684282566, 0.487103683448309, 0.250075820687814, 0.641467280552988, 0.276157037401859, 0.192846942152113, 0.0833100952497459, 61.7019999999948, 61.3098494623646, 60.6700903540909, 62.6259163591633
4/19/2018, 61.52, 61.56, 61.02, 61.16, 359215, 0.980227338568225, 0.12521897812386, 0.155167067710101, 0.147068506617771, 0.610446431032162, 0.248331507980637, 0.203943855317818, 0.0443876526628195, 61.5616363636312, 61.304752688171, 60.6546788766794, 62.6214003006695
4/20/2018, 61, 61, 60.76, 60.93, 443800, 0.967555700401953, -0.0660025754188871, 0.415447377926519, 0.0649778247621672, 0.598205388765699, 0.205353312474209, 0.204225746749096, 0.00112756572511274, 61.2552727272675, 61.2841720430097, 60.6378510378515, 62.6136107694408
4/23/2018, 60.58, 60.68, 60.38, 60.47, 215211, 0.971647269459508, -0.252541384759301, 0.744348022533662, 0.0493243922218655, 0.586627992809652, 0.132645571693111, 0.189909711737899, -0.0572641400447883, 60.8618181818129, 61.2257419354828, 60.5995848595853, 62.596964056307
4/24/2018, 60.92, 61, 60.49, 60.66, 689072, 0.96385979005944, -0.0340916768485934, 0.71211580728336, 0.0370419762936667, 0.612015710049701, 0.089325882229943, 0.169792945836308, -0.0804670636063649, 60.6879999999947, 61.1985591397839, 60.5725934065939, 62.5826874402075
4/25/2018, 60.52, 60.61, 60.33, 60.45, 316497, 0.946143062394629, -0.170096891367638, 0.490433462507814, 0.0739007127169002, 0.572189895124036, 0.0376158590638624, 0.143357528481819, -0.105741669417956, 60.4950909090855, 61.1278279569882, 60.5491257631262, 62.5650960776272
4/26/2018, 60.79, 61.09, 60.75, 60.98, 334696, 0.943500011736103, -0.0106043923541691, 0.574674855501434, 0.133199668543837, 0.634225882309935, 0.0389528396709125, 0.122476590719638, -0.0835237510487251, 60.5421818181764, 61.1490537634398, 60.5452112332117, 62.5525209785429
4/27/2018, 61.12, 61.34, 60.96, 61.28, 193235, 0.922942218992888, 0.540079179796362, 0.459675908480151, 0.181640963388424, 0.615537720532141, 0.0634880485263309, 0.110678882280976, -0.0471908337546453, 60.7187272727218, 61.2212903225796, 60.5540463980469, 62.5441722017218
