Date,MDY_Open,MDY_High,MDY_Low,MDY_Close,MDY_Volume,MDY_ATRPercentOfClose20,MDY_SQN25,MDY_SQN50,MDY_SQN100,MDY_SQN200,MDY_MACD,MDY_MACD_Avg,MDY_MACD_Diff,MDY_LinReg10,MDY_LinReg30,MDY_LinReg90,MDY_LinReg270
9/1/2017, 316.21, 317.34, 316.06, 316.8, 742565, 0.833047554158349, -0.37311649917741, 0.0818702740924076, 0.228115854164699, 0, -1.09804406243092, -1.87542060413065, 0.777376541699736, 315.32618181817, 309.090236559141, 316.703726495727, 318.967046293073
9/5/2017, 316.89, 317.54, 312.12, 313.33, 1037715, 0.886649832124267, -0.640121309605683, -0.245079040582348, 0.249039150575369, 0, -1.00723616136077, -1.70178371557667, 0.694547554215909, 315.06218181817, 309.309827956991, 316.594239316239, 318.896099071207
9/6/2017, 314.06, 314.6, 313.04, 313.7, 723504, 0.86618837202589, -0.68237741277827, -0.304744208588084, 0.443012534698727, 0, -0.895096225635086, -1.54044621758836, 0.645349991953271, 315.228363636352, 309.83477419355, 316.432842490842, 318.834997960016
9/7/2017, 313.86, 314.13, 311.55, 312.66, 659607, 0.866874968621812, -0.572096355066114, -0.201448363118122, 0.20517541037361, 0, -0.879999737808646, -1.40835692163241, 0.528357183823769, 314.751999999988, 310.107096774195, 316.248605616606, 318.750984003226
9/8/2017, 311.98, 314.05, 311.45, 313.44, 764797, 0.862957093238996, -0.415393540414768, -0.408529029289964, 0.246592856381699, 0, -0.795921295918276, -1.28586979648959, 0.489948500571311, 314.35818181817, 310.483483870969, 316.089897435897, 318.686370340841
9/11/2017, 315.97, 317.71, 315.81, 317.17, 1126927, 0.877482131789228, -0.139884232584401, 0.00621177463225034, 0.395961783190994, 0, -0.423427687076298, -1.11338137460693, 0.689953687530631, 315.368909090897, 311.28901075269, 316.066293040293, 318.707896880131
9/12/2017, 317.97, 319.52, 317.68, 319.38, 872420, 0.864629774414834, 0.0457613756713781, 0.143040863484652, 0.352686209011552, 0, 0.0495337179945068, -0.880798356086642, 0.930332074081149, 316.808363636352, 312.373548387099, 316.127428571428, 318.77891948052
9/13/2017, 319.05, 319.75, 318.76, 319.02, 751005, 0.837841466005201, 0.0845770585203217, -0.0474584307194944, 0.3745895113284, 0, 0.390805089853416, -0.626477666898631, 1.01728275675205, 317.633454545442, 313.474301075271, 316.228141636142, 318.840267719568
9/14/2017, 318.35, 319.35, 317.91, 318.93, 1004786, 0.818749491301321, 0.270824535138462, 0.0309992003501702, 0.185749584939013, 0, 0.646549838861347, -0.371872165746635, 1.01842200460798, 318.37727272726, 314.419806451615, 316.292905982906, 318.898235891576
9/15/2017, 317.25, 318.79, 317.05, 318.61, 737157, 0.808096376440456, 0.767196575883563, 0.289868628618878, 0.0744238651481219, 0, 0.814024501601409, -0.134692832277026, 0.948717333878436, 319.194363636351, 315.266107526883, 316.324744810745, 318.947783566631
9/18/2017, 319.35, 320.49, 319.17, 320.12, 974281, 0.793434359530205, 0.847196367014246, 0.174706282025743, 0.148058152056571, 0, 1.05641605216294, 0.103528944610968, 0.952887107551977, 320.611818181805, 316.361118279572, 316.463802197802, 319.029674115456
9/19/2017, 320.65, 320.69, 319.85, 320.09, 518338, 0.766954596563993, 0.515307156604984, 0.2251102715267, 0.131683624431032, 0, 1.23189187038452, 0.329201529765677, 0.902690340618838, 321.143818181805, 317.450903225808, 316.555343101343, 319.109165745856
9/20/2017, 320.58, 321.12, 319.89, 321.03, 1200431, 0.745630539119273, 0.800880326446668, 0.253691630625557, 0.342107677535528, 0, 1.43032002573892, 0.549425228960326, 0.880894796778596, 321.705818181805, 318.599311827959, 316.655472527472, 319.207576953433
9/21/2017, 320.92, 321.12, 320.03, 320.33, 449929, 0.726910633954944, 0.640223479184223, 0.0558906196555872, 0.257586202015346, 0, 1.51364328106513, 0.742268839381287, 0.771374441683842, 321.418181818168, 319.494967741937, 316.762661782662, 319.288693929022
9/22/2017, 319.84, 321.49, 319.84, 321.22, 894789, 0.71433509496933, 1.66439505539277, 0.0962330288252968, 0.326676347679078, 0, 1.63267268873022, 0.920349609251074, 0.71232307947915, 321.175636363623, 320.144666666669, 316.895472527473, 319.387409123307
9/25/2017, 320.95, 322.28, 320.41, 321.95, 857584, 0.706121395389798, 1.86869804613928, 0.0770109829695841, 0.430765705325996, 0, 1.7655570088242, 1.0893910891657, 0.676165919658503, 321.506909090896, 320.863634408604, 316.913951159951, 319.499844300823
9/26/2017, 322.18, 323.05, 322, 322.22, 917132, 0.687322307999063, 1.91362841688217, 0.0432121264712997, 0.466274137856878, 0, 1.87108680936706, 1.24573023320597, 0.625356576161085, 322.112727272713, 321.788860215056, 316.939907203907, 319.615801220575
9/27/2017, 323.58, 325.71, 321.89, 325.24, 1472179, 0.705619064012069, 1.91467789930573, 0.336489536015786, 0.47863380189466, 0, 2.17335560683659, 1.4312553079321, 0.742100298904498, 323.534909090895, 322.94189247312, 317.15842979243, 319.793859467541
9/28/2017, 325.04, 326.04, 323.77, 325.96, 802104, 0.703677651123823, 2.14891621580282, 0.153574919157391, 0.583615882942846, 0, 2.44284420192713, 1.6335730867311, 0.809271115196027, 324.848545454532, 324.164043010755, 317.433321123321, 319.983727386506
9/29/2017, 325.79, 327.06, 325.73, 326.33, 919600, 0.688113960721678, 2.26618740289745, 0.206314792601667, 0.638993051538542, 0, 2.65565897925535, 1.83799026523595, 0.817668714019397, 325.842545454531, 324.997354838711, 317.727682539682, 320.177733873691
10/2/2017, 326.58, 329.24, 326.26, 329.2, 1117030, 0.693270405109933, 2.3592195252376, 0.469696008155135, 0.674946673665079, 0, 3.02107615261207, 2.07460744271118, 0.946468709900892, 327.708909090895, 326.041677419357, 318.157829059829, 320.428270676692
10/3/2017, 329.56, 330.12, 328.47, 330.04, 880683, 0.681927604211854, 2.50779939507027, 0.487722878107873, 0.818335399645678, 0, 3.33995198754843, 2.32767635167863, 1.0122756358698, 329.364181818167, 327.056258064518, 318.624901098901, 320.691603196473
10/4/2017, 329.71, 330.42, 329.08, 329.84, 805885, 0.668536918413099, 2.52651777319103, 0.270314616990361, 0.875691940382188, 0, 3.53576693529004, 2.56929446840091, 0.966472466889132, 330.595636363621, 328.096860215056, 319.054515262515, 320.945818062827
10/5/2017, 330.33, 331.46, 329.95, 330.91, 1033045, 0.657534393976935, 2.43508173958931, 0.58406076424316, 0.82986328986601, 0, 3.73424568995603, 2.80228471271193, 0.931960977244093, 331.576181818167, 329.103763440862, 319.497301587301, 321.217376403281
10/6/2017, 329.85, 330.89, 329.68, 330.59, 592636, 0.643865425437437, 2.09582381606438, 0.634866794060679, 0.835914770466878, 0, 3.82166641580602, 3.00616105333075, 0.81550536247527, 332.047090909076, 329.915591397851, 319.914539682539, 321.477287003899
10/9/2017, 330.71, 331.46, 329.18, 329.63, 614194, 0.648037792208216, 1.76257793668759, 0.683324317158618, 1.18242091253125, 0, 3.77002548687585, 3.15893394003977, 0.61109154683608, 331.821272727258, 330.572344086023, 320.386976800977, 321.712720063442
10/10/2017, 330.59, 331.61, 329.95, 330.63, 650169, 0.643716730403516, 2.87942556227577, 0.786578759605452, 1.21893828035366, 0, 3.76637489598323, 3.28042213122846, 0.485952764754769, 331.575999999985, 331.229118279572, 320.904388278388, 321.964130821559
10/11/2017, 330.57, 331.15, 330.18, 330.86, 662426, 0.625764551304626, 2.84878041399462, 0.741566440664607, 1.06914550443338, 0, 3.73894067353484, 3.37212583968974, 0.366814833845102, 331.555454545439, 331.772064516131, 321.394253968254, 322.215556821713
10/12/2017, 329.94, 331.34, 329.64, 330.94, 1508170, 0.62001703170489, 3.16004887222909, 0.949032139957829, 0.988893898179649, 0, 3.68121938046522, 3.43394454784484, 0.247274832620386, 331.399999999985, 332.32412903226, 321.851785103785, 322.463971696662
10/13/2017, 331.24, 332.08, 330.55, 330.73, 655993, 0.612520831641506, 2.95040784872438, 1.00580467727898, 0.946228893044322, 0, 3.57729279039114, 3.4626141963541, 0.114678594037043, 330.974363636348, 332.902193548389, 322.285833943834, 322.703625704279
10/16/2017, 331.01, 332.02, 330.52, 330.68, 544083, 0.60466331171028, 2.71068542821356, 0.930853846366534, 0.895455577023738, 0, 3.45111335041412, 3.4603140271661, -0.00920067675198366, 330.865454545439, 333.457505376346, 322.768764346764, 322.937904522613
10/17/2017, 330.51, 331.21, 329.9, 330.23, 455741, 0.595047575085661, 2.27685813112254, 0.888181658098494, 0.844364635281074, 0, 3.27702845185183, 3.42365691210325, -0.146628460251415, 330.688363636348, 333.634838709679, 323.248942612942, 323.158985074627
10/18/2017, 331.07, 331.98, 330.41, 331.27, 567690, 0.589933989448217, 2.58849470792256, 1.03337090616343, 0.943667654502881, 0.72393219778237, 3.18625505894011, 3.37617654147062, -0.189921482530515, 330.820181818166, 333.859763440862, 323.774671550671, 323.396589823161
10/19/2017, 329.64, 331.61, 328.89, 331.59, 654465, 0.600910947405789, 2.69282433412783, 1.25614560350357, 1.01799348921186, 0.616215543413183, 3.10435277037459, 3.32181178725141, -0.217459016876825, 331.198545454529, 333.942602150539, 324.35241025641, 323.636198117348
10/20/2017, 333.28, 333.64, 332.69, 333.57, 1385202, 0.598205048408943, 3.09443870615741, 1.99836762785895, 1.11397460455244, 0.728278035206302, 3.16275578907255, 3.29000058761564, -0.127244798543093, 332.159818181802, 334.206537634411, 324.978446886446, 323.910231816864
10/23/2017, 333.78, 333.83, 331.68, 331.8, 614567, 0.603725422235933, 2.23213965110396, 1.75974731645811, 0.771422568837958, 0.69204384597942, 3.03127375769265, 3.23825522163104, -0.206981463938397, 332.155090909074, 334.364688172045, 325.484148962149, 324.14494165471
10/24/2017, 332.47, 333.6, 332.44, 333.12, 1042686, 0.598283772643457, 2.46844819540068, 1.61376298826753, 0.816947938473151, 0.775621322761411, 2.99901548515635, 3.1904072743361, -0.191391789179755, 332.687999999983, 334.743268817206, 326.026991452991, 324.401036230168
10/25/2017, 332.29, 332.4, 328.74, 331.07, 836132, 0.638038106218742, 1.73552024094918, 1.57994771917146, 0.776989797764309, 0.674156889204625, 2.77603233162898, 3.10753228579468, -0.331499954165698, 332.422909090892, 334.749096774196, 326.512539682539, 324.613085690164
10/26/2017, 331.68, 333, 331.33, 332.5, 879953, 0.632551915893375, 2.11267638453512, 1.62629279462199, 0.919927374110089, 0.676405841368511, 2.68376880870437, 3.02277959037662, -0.339010781672247, 332.656363636346, 334.852623655916, 326.974263736263, 324.848800631735
10/27/2017, 332.35, 334.37, 331.45, 334.25, 784920, 0.641457999799012, 2.21002688261368, 2.6669660773843, 1.01929547922762, 0.76538288876636, 2.72049945246766, 2.96232356279483, -0.241824110327165, 333.367272727255, 335.069311827959, 327.460503052503, 325.11377944424
10/30/2017, 333.48, 333.96, 331.12, 331.85, 988590, 0.660952145882714, 1.52538270555026, 2.40712696221641, 0.736795045195193, 0.662203042976962, 2.52682118815153, 2.87522308786617, -0.348401899714639, 333.047090909073, 334.98124731183, 327.837667887668, 325.328534518113
10/31/2017, 332.67, 334.22, 332.26, 333.62, 944702, 0.660092683683892, 1.71623207016926, 2.56805362263726, 0.765826690825826, 0.778780480854127, 2.48747985641489, 2.79767444157591, -0.310194585161021, 333.184545454528, 335.040086021508, 328.309887667887, 325.572997066125
11/1/2017, 335.28, 335.67, 331.65, 332.74, 792132, 0.689154039412421, 1.20687018559933, 2.23415112491675, 0.699187560947314, 0.724817505384683, 2.35811009671909, 2.70976157260455, -0.351651475885461, 333.041090909073, 334.962645161293, 328.759218559218, 325.796653402486
11/2/2017, 332.28, 334.29, 332.04, 333.02, 1042357, 0.687927629933291, 1.13756971253196, 2.35893312026027, 0.60310870986459, 0.79094713503152, 2.25221515568427, 2.61825228922049, -0.366037133536225, 332.978181818164, 334.798516129035, 329.152141636141, 326.021672867393
