Date,XBI_Open,XBI_High,XBI_Low,XBI_Close,XBI_Volume,XBI_ATRPercentOfClose20,XBI_SQN25,XBI_SQN50,XBI_SQN100,XBI_SQN200,XBI_MACD,XBI_MACD_Avg,XBI_MACD_Diff,XBI_LinReg10,XBI_LinReg30,XBI_LinReg90,XBI_LinReg270
6/29/2017, 79.3, 79.37, 77.3, 78.22, 4975548, 2.28109396437242, 1.28582749800686, 1.31387672493115, 1.22723586706862, 0, 2.41006467388482, 1.93919410263342, 0.470870571251394, 80.4263636363627, 78.2683870967739, 73.1696654456653, 73.9804748387097
6/30/2017, 78.09, 78.1, 76.87, 77.18, 3724634, 2.28369799687161, 1.17341674053459, 1.1148680942644, 1.19074830312023, 0, 2.26301688191739, 2.00395865849022, 0.259058223427176, 79.2127272727263, 78.6699784946234, 73.398017094017, 74.1601942857143
7/3/2017, 77.4, 78.32, 77.15, 77.91, 2106625, 2.22427186277272, 1.47860633089324, 1.28566480942697, 1.19535609642913, 0, 2.18025274995523, 2.03921747678322, 0.141035273172009, 78.4589090909081, 79.0605376344083, 73.6369548229547, 74.357554055743
7/5/2017, 77.96, 79.62, 77.8, 79.4, 6625814, 2.18801473283617, 1.95946223010557, 1.29872431476249, 1.20239040381435, 0, 2.20942327049821, 2.07325863552622, 0.136164634971988, 78.1792727272717, 79.6149032258061, 73.9353553113552, 74.5955868602362
7/6/2017, 78.92, 79.27, 77.55, 77.96, 4197925, 2.2356586877608, 1.63839538397603, 0.94716179587989, 1.10452202953506, 0, 2.09222725929399, 2.07705236027977, 0.0151748990142186, 77.8670909090899, 79.9260645161288, 74.2339023199022, 74.7823728197675
7/7/2017, 78.46, 78.66, 77.87, 78.26, 2260579, 2.16620692222004, 1.41553149797427, 0.985581897692113, 1.1071492019584, 0, 2.00049560083721, 2.06174100839126, -0.0612454075540492, 77.8265454545445, 80.2516774193546, 74.5340830280829, 74.973007751938
7/10/2017, 78.25, 78.43, 76.87, 77.09, 2633138, 2.19030984623549, 0.983512773400309, 0.763243748943885, 0.906495578972663, 0, 1.81249506386011, 2.01189181948503, -0.199396755624919, 77.65509090909, 80.3535268817202, 74.8052234432234, 75.1226423957722
7/11/2017, 77.39, 78.18, 77.19, 77.84, 2566517, 2.13076100647455, 1.17322671619124, 0.81648130124208, 0.864912243759751, 0, 1.70437504128419, 1.95038846384486, -0.24601342256067, 77.8763636363627, 80.4339139784943, 75.0856971916971, 75.2906280360861
7/12/2017, 78.51, 78.74, 77.87, 78.58, 5345499, 2.06242701586638, 1.28318480407339, 0.815212735738243, 0.968081362603348, 0, 1.65927388352489, 1.89216554778087, -0.23289166425598, 77.9105454545446, 80.4653548387093, 75.4098803418802, 75.476042378674
7/13/2017, 78.82, 79.77, 77.16, 79.18, 8983520, 2.10927303815914, 1.3436341460241, 1.0476617311894, 0.946468983433198, 0, 1.65289236239127, 1.84431091070295, -0.191418548311679, 78.4745454545446, 80.5178494623653, 75.741216117216, 75.6741342161374
