Date,IXG_Open,IXG_High,IXG_Low,IXG_Close,IXG_Volume,IXG_ATRPercentOfClose20,IXG_SQN25,IXG_SQN50,IXG_SQN100,IXG_SQN200,IXG_MACD,IXG_MACD_Avg,IXG_MACD_Diff,IXG_LinReg10,IXG_LinReg30,IXG_LinReg90,IXG_LinReg270
6/28/2017, 62.32, 63.06, 62.32, 63, 17572, 0.928157995578659, 0.5154353192641, 1.08297927834409, 0.671806763244115, 0, 0.123926108713981, 0.170497605823686, -0.0465714971097054, 61.7987272727295, 62.5287741935485, 62.009326007326, 62.3748190401258
6/29/2017, 63.84, 63.84, 62.98, 63.2, 41892, 0.946997722078841, 0.577499391929267, 1.19114860061338, 0.787009532056139, 0, 0.197729486301988, 0.175943981919347, 0.0217855043826412, 62.2549090909114, 62.6098924731184, 62.0910598290598, 62.425384516129
6/30/2017, 63.48, 63.55, 63.02, 63.16, 55277, 0.942174528714591, 0.5734628659247, 0.961572327981812, 0.825124772039822, 0, 0.250108434710803, 0.190776872477638, 0.0593315622331654, 62.7001818181841, 62.6661290322582, 62.1703858363858, 62.4731847619047
7/3/2017, 63.6, 64.1, 63.45, 63.88, 21701, 0.95855285021811, 0.921572398475555, 1.19105061884859, 1.02031863508131, 0, 0.345731731216738, 0.221767844225458, 0.12396388699128, 63.4869090909114, 62.84511827957, 62.2796874236874, 62.5421584801899
7/5/2017, 63.93, 64.08, 63.63, 64.07, 65522, 0.943042582618015, 1.10440892882083, 0.864630947592199, 0.919969449084628, 0, 0.431867000773039, 0.263787675534974, 0.168079325238065, 64.0081818181842, 63.0442150537635, 62.3803736263736, 62.6150639763779
7/6/2017, 63.83, 64.18, 63.7, 63.72, 24443, 0.938476166900807, 1.07633760476981, 0.61299170644785, 0.834198064894208, 0, 0.466510109390967, 0.304332162306173, 0.162177947084794, 64.2276363636388, 63.2001720430108, 62.4644249084249, 62.6750835755814
7/7/2017, 63.92, 64.06, 63.65, 63.92, 35483, 0.920834109624116, 0.995516766320341, 0.75382231085823, 0.762853524070218, 0, 0.504290207488879, 0.344323771342714, 0.159966436146165, 64.373454545457, 63.3727096774194, 62.5530647130647, 62.7395181872391
7/10/2017, 63.95, 64.19, 63.9, 64.08, 33428, 0.895236118489619, 1.01819541668383, 0.840696155839863, 0.701665127294609, 0, 0.540906635258025, 0.383640344125776, 0.157266291132249, 64.4178181818206, 63.5504516129033, 62.6761098901098, 62.8069982384028
7/11/2017, 64.11, 64.11, 63.73, 63.96, 20975, 0.881776015465511, 1.00190808300579, 0.892916643292901, 0.559727286550682, 0, 0.553857891940311, 0.417683853688683, 0.136174038251628, 64.3412727272752, 63.687311827957, 62.7764078144077, 62.8689659958362
7/12/2017, 64.11, 64.33, 63.99, 64.17, 29951, 0.863775506493928, 1.19611031698884, 0.854234612757124, 0.621315203469738, 0, 0.574445253820279, 0.449036133715002, 0.125409120105277, 64.2674545454571, 63.8208387096775, 62.8954993894993, 62.9354932786511
