Date,XLU_Open,XLU_High,XLU_Low,XLU_Close,XLU_Volume,XLU_ATRPercentOfClose20,XLU_SQN25,XLU_SQN50,XLU_SQN100,XLU_SQN200,XLU_MACD,XLU_MACD_Avg,XLU_MACD_Diff,XLU_LinReg10,XLU_LinReg30,XLU_LinReg90,XLU_LinReg270
3/10/2017, 50.81, 51.06, 50.64, 50.96, 11491797, 1.08560014969003, 1.18272887716202, 0, 0, 0, 0.528580048132582, 0.608197876937829, -0.0796178288052471, 50.8192727272724, 51.6733763440861, 51.1371542553191, 51.1371542553191
3/13/2017, 50.92, 51.14, 50.86, 51.11, 14057982, 1.05568527581283, 1.22917636970754, 0, 0, 0, 0.506105031768939, 0.587779307904051, -0.081674276135112, 50.7787272727269, 51.7090752688173, 51.2017772108843, 51.2017772108843
3/14/2017, 51.05, 51.2, 50.89, 51.06, 11670519, 1.03423953631912, 1.26173393453123, 0, 0, 0, 0.478740218016576, 0.565971489926556, -0.0872312719099806, 50.8252727272723, 51.7235483870969, 51.2572489795918, 51.2572489795918
3/15/2017, 51.24, 52.14, 51.14, 51.88, 22619164, 1.07108437139999, 1.52699117260043, 0, 0, 0, 0.517257925555136, 0.556228777052272, -0.0389708514971366, 51.1018181818178, 51.8750967741936, 51.3719294117647, 51.3719294117647
3/16/2017, 51.78, 51.78, 51.21, 51.31, 18728354, 1.09412325723679, 0.960923555462442, 1.0884759811648, 0, 0, 0.496070853962209, 0.54419719243426, -0.0481263384720506, 51.2243636363632, 51.8802365591399, 51.4348416289593, 51.4348416289593
3/17/2017, 51.1, 51.52, 51.04, 51.23, 15128544, 1.08788778279092, 1.16689978586846, 0.990836180132332, 0, 0, 0.467436300959633, 0.528845014139334, -0.061408713179701, 51.3074545454541, 51.8900000000001, 51.4869811320755, 51.4869811320755
3/20/2017, 51.35, 51.45, 50.75, 50.9, 7148024, 1.10895612095795, 0.829785491831487, 0.844727068464363, 0, 0, 0.41335012637402, 0.505746036586272, -0.0923959102122516, 51.2723636363632, 51.8464731182797, 51.5109014675053, 51.5109014675053
3/21/2017, 50.92, 51.8, 50.89, 51.61, 25417115, 1.12717638498202, 1.01329971210863, 1.01646178432343, 0, 0, 0.422902552252836, 0.489177339719584, -0.0662747874667485, 51.5049090909087, 51.8734623655915, 51.5838451178451, 51.5838451178451
3/22/2017, 51.82, 52.23, 51.65, 51.86, 25252761, 1.1254318273713, 1.3351270416569, 1.38041837356674, 0, 0, 0.445510264240475, 0.480443924623763, -0.0349336603832873, 51.6638181818177, 51.9220430107528, 51.6693376623377, 51.6693376623377
3/23/2017, 51.85, 52.17, 51.56, 51.7, 22565328, 1.13146324640429, 1.31669328605693, 1.38098329400661, 0, 0, 0.44538228629073, 0.473431596957156, -0.028049310666426, 51.6794545454541, 51.9633548387098, 51.7378759398496, 51.7378759398496
