Date,THD_Open,THD_High,THD_Low,THD_Close,THD_Volume,THD_ATRPercentOfClose20,THD_SQN25,THD_SQN50,THD_SQN100,THD_SQN200,THD_MACD,THD_MACD_Avg,THD_MACD_Diff,THD_LinReg10,THD_LinReg30,THD_LinReg90,THD_LinReg270
8/8/2017, 79.56, 79.69, 79.27, 79.38, 75691, 0.776059120674747, 0.61631483976837, 0.18283623342216, 0.834743837006825, 0, 0.266365461792645, 0.256222278576245, 0.0101431832164001, 79.2721818181814, 79.5872473118277, 78.9227863247865, 79.6085064482398
8/9/2017, 79.19, 79.29, 79.02, 79.26, 114827, 0.761082441953108, 0.633976730802036, 0.159954042614481, 0.778770889631948, 0, 0.25290411374192, 0.25555864560938, -0.0026545318674604, 79.3276363636358, 79.6386236559137, 78.9589890109891, 79.6316434468524
8/10/2017, 79.04, 79.18, 78.41, 78.51, 297942, 0.784068585297965, 0.881378080288249, 0.117124976524833, 0.450484723942228, 0, 0.17964631553987, 0.240376179595478, -0.0607298640556084, 79.0761818181813, 79.6130752688169, 78.969921855922, 79.6347330447331
8/11/2017, 79.04, 79.5, 78.8, 79.21, 99783, 0.80077469259129, 1.09983231211536, 0.219408225504839, 0.686424712265851, 0, 0.176043809079118, 0.227509705492206, -0.0514658964130879, 79.0670909090904, 79.6125376344083, 79.0113504273506, 79.6556547968161
8/14/2017, 79.39, 79.75, 79.23, 79.39, 266305, 0.793020471471826, 1.07199069486912, 0.165998618076565, 0.521695605976457, 0, 0.185574109611821, 0.219122586316129, -0.0335484767043083, 79.1170909090904, 79.6496559139782, 79.0453650793652, 79.6806054590571
8/15/2017, 78.85, 79.36, 78.85, 79.16, 91244, 0.789666504151603, 1.02501181869351, 0.186450370053846, 0.530479522158943, 0, 0.172578486272911, 0.209813766307486, -0.0372352800345742, 79.0878181818176, 79.6656989247309, 79.0614285714287, 79.699057651478
8/16/2017, 79.11, 79.29, 79.06, 79.26, 95525, 0.763745905188101, 0.639321413033012, 0.113041442378734, 0.4449470582638, 0, 0.168407231676653, 0.201532459381319, -0.033125227704666, 79.1521818181812, 79.6783655913976, 79.0965811965814, 79.719524308635
8/17/2017, 79.04, 79.32, 78.67, 78.84, 181386, 0.770646568023191, 0.267561377751523, 0.0678554334862956, 0.244335082548724, 0, 0.129715710478138, 0.187169109600683, -0.0574533991225452, 79.0449090909085, 79.5593978494621, 79.1083247863249, 79.7289085263912
8/18/2017, 79.21, 79.71, 78.93, 79.52, 161266, 0.780556924695685, 0.238563603972377, 0.183612557872637, 0.367229745531423, 0, 0.152168613123436, 0.180169010305234, -0.0280003971817974, 79.2065454545449, 79.5282365591395, 79.1604664224665, 79.7549355345912
8/21/2017, 79.61, 79.73, 79.45, 79.67, 68336, 0.757705438925704, 0.65395694860719, 0.400578973819775, 0.405766296423344, 0, 0.179991615331289, 0.180133531310445, -0.000141915979155416, 79.3836363636358, 79.5165376344083, 79.2259365079366, 79.7840147515528
8/22/2017, 79.78, 80.17, 79.78, 80.03, 84859, 0.747820476112087, 0.851058901338396, 0.434691183199774, 0.462920637681789, 0, 0.228457026003184, 0.189798230248993, 0.0386587957541916, 79.6954545454539, 79.5261290322578, 79.3033870573871, 79.8212307338394
8/23/2017, 79.47, 80.05, 79.47, 79.94, 66142, 0.747506493221013, 0.648590083826251, 0.157271929071784, 0.472772985392723, 0, 0.256645515549508, 0.203167687309096, 0.0534778282404121, 79.9167272727266, 79.5699569892469, 79.3836703296704, 79.8553502991744
8/24/2017, 79.89, 80.11, 79.72, 79.93, 80024, 0.734616359498104, 0.66146562263428, 0.139969527604013, 0.384087293003743, 0, 0.275008058464152, 0.217535761540107, 0.0574722969240453, 79.9474545454538, 79.6128817204298, 79.4497167277168, 79.8884034116414
