Date,FXS_Open,FXS_High,FXS_Low,FXS_Close,FXS_Volume,FXS_ATRPercentOfClose20,FXS_SQN25,FXS_SQN50,FXS_SQN100,FXS_SQN200,FXS_MACD,FXS_MACD_Avg,FXS_MACD_Diff,FXS_LinReg10,FXS_LinReg30,FXS_LinReg90,FXS_LinReg270
9/7/2017, 120.69, 120.72, 120.37, 120.37, 1245, 0.516620108801278, 0.73418031389418, 2.67173242995363, 2.03083051231899, 0, 1.07123717814719, 1.14472809647511, -0.0734909183279235, 120.353272727271, 120.379462365591, 120.22918925519, 117.393245657569
9/8/2017, 120.84, 120.84, 120.44, 120.5, 1023, 0.509761696029787, 0.608081304005606, 2.58389564491032, 2.09130132188238, 0, 1.04979831430606, 1.1257421400413, -0.0759438257352401, 120.269272727271, 120.499419354839, 120.401807081808, 117.550031030541
9/11/2017, 119.61, 119.61, 119.52, 119.52, 658, 0.529241718147673, 0.463295286161498, 2.30862356869244, 1.92984031317881, 0, 0.942861331931312, 1.0891659784193, -0.14630464648799, 119.978909090907, 120.470344086021, 120.520300366301, 117.678366524228
9/13/2017, 118.99, 118.99, 118.99, 118.99, 420, 0.527289870118156, 0.207559538229329, 2.04205328595895, 1.92248322486918, 0, 0.806054735119972, 1.03254372975944, -0.226488994639464, 119.591454545453, 120.370860215054, 120.644776556777, 117.790339144973
9/14/2017, 119.2, 119.2, 119.2, 119.2, 454, 0.508851598683653, 0.30117699193656, 2.10905262312734, 1.95980157422994, 0, 0.706436407303443, 0.967322265268237, -0.260885857964795, 119.458727272725, 120.258967741935, 120.789445665446, 117.904849056604
9/15/2017, 120.18, 120.18, 120.18, 120.18, 211, 0.520239266391553, 0.601185526221446, 2.0458132194054, 2.29211199249835, 0, 0.698513940697296, 0.913560600354049, -0.215046659656753, 119.556727272725, 120.358430107527, 120.959301587302, 118.040895186336
9/18/2017, 119.98, 119.98, 119.98, 119.98, 1042, 0.503385875005751, 0.955860158451789, 1.82596548382993, 2.2683128570207, 0, 0.668392191183116, 0.864526918519863, -0.196134727336746, 119.657818181816, 120.454537634409, 121.105020757021, 118.168833678399
9/19/2017, 120.03, 120.42, 119.89, 119.89, 406, 0.500679167729006, 0.963860924276915, 1.65637673306827, 2.20595695870566, 0, 0.629996037675596, 0.817620742351009, -0.187624704675413, 119.656909090907, 120.491892473118, 121.226864468865, 118.291577671741
9/21/2017, 119.95, 119.95, 119.95, 119.95, 207, 0.477908329704702, 0.747874719221263, 1.48878234792235, 2.07568411008484, 0, 0.597520463985376, 0.773600686677883, -0.176080222692507, 119.71818181818, 120.541634408602, 121.351948717949, 118.412915606764
9/22/2017, 120.02, 120.25, 120.02, 120.25, 1735, 0.465354253144907, 0.858609434209221, 1.88799900472298, 2.28196863004207, 0, 0.589198912359308, 0.736720331814168, -0.14752141945486, 119.906727272725, 120.614043010753, 121.480791208792, 118.538685144124
9/25/2017, 119.39, 119.39, 118.74, 118.74, 1065, 0.511292795129201, 0.0259930242712666, 1.24832671389372, 1.92146642852, 0, 0.455508820203733, 0.680478029492081, -0.224969209288348, 119.609272727271, 120.480344086022, 121.543343101344, 118.625282949982
9/26/2017, 118.21, 118.21, 117.65, 117.71, 1384, 0.536278660852597, -0.0754201529334819, 0.937292171424581, 1.64200126322218, 0, 0.263409644637917, 0.597064352521248, -0.333654707883331, 119.070909090907, 120.138322580645, 121.54728937729, 118.685224731261
9/27/2017, 116.62, 117.31, 116.62, 117.31, 10746, 0.557659987302968, -0.221824333587625, 0.887802424918233, 1.59072588268086, 0, 0.0779939413355066, 0.4932502702841, -0.415256328948593, 118.350545454543, 119.734666666667, 121.508703296704, 118.734178785287
9/28/2017, 117.35, 117.67, 117.35, 117.67, 568, 0.543453203492697, -0.354438251542718, 0.891865328722138, 1.41297250140054, 0, -0.0394456432043881, 0.386711087586402, -0.42615673079079, 117.769090909089, 119.425010752688, 121.471372405373, 118.790372640181
9/29/2017, 117.46, 117.46, 117.01, 117.01, 438, 0.547395363919634, -0.310057582684318, 0.683149639635128, 1.1724349865137, 0, -0.183656763362961, 0.27263751739653, -0.456294280759491, 117.073636363634, 119.030451612903, 121.407746031747, 118.829686738601
10/2/2017, 117.01, 117.01, 116.97, 116.97, 478, 0.521913267980034, -0.644923997744369, 0.525638196611221, 1.25372153691207, 0, -0.297740612337748, 0.158561891449674, -0.456302503787422, 116.679818181816, 118.697720430108, 121.351953601954, 118.867025799794
10/3/2017, 117.88, 117.88, 117.29, 117.44, 13163, 0.532576508922371, -0.496270296665537, 0.424569453824563, 1.38660384881274, 0, -0.346236612391081, 0.0576021906815231, -0.403838803072604, 116.583454545452, 118.38911827957, 121.324178266179, 118.914268325854
10/4/2017, 118.11, 118.11, 118.02, 118.04, 3660, 0.531756150012294, -0.676759145082641, 0.587857053407604, 1.57700618935206, 0, -0.332423089784527, -0.0204028654116869, -0.31202022437284, 116.814909090907, 118.165591397849, 121.330420024421, 118.974155128378
