Date,XRT_Open,XRT_High,XRT_Low,XRT_Close,XRT_Volume,XRT_ATRPercentOfClose20,XRT_SQN25,XRT_SQN50,XRT_SQN100,XRT_SQN200,XRT_MACD,XRT_MACD_Avg,XRT_MACD_Diff,XRT_LinReg10,XRT_LinReg30,XRT_LinReg90,XRT_LinReg270
4/27/2017, 43.52, 43.67, 43.2, 43.47, 4350180, 1.52093022370704, 1.24635174053815, -0.0973933152649107, 0, 0, 0.323728349553228, 0.127051541595543, 0.196676807957686, 43.6767272727275, 42.8969247311827, 41.7668333333334, 41.7668333333334
4/28/2017, 43.41, 43.43, 42.77, 42.91, 5563439, 1.54530633845998, 0.806032478310487, -0.370628389649193, 0, 0, 0.308407180797317, 0.163322669435898, 0.14508451136142, 43.5038181818184, 43.0262150537633, 41.7958657031015, 41.7958657031015
5/1/2017, 43.1, 43.15, 42.76, 42.88, 2286287, 1.51454384874421, 0.84613259580374, -0.125112383343768, 0, 0, 0.290495641962387, 0.188757263941196, 0.101738378021192, 43.3258181818185, 43.1492688172041, 41.8223978842198, 41.8223978842198
5/2/2017, 43, 43.35, 42.74, 43.31, 3083301, 1.49495401113933, 0.944739941051091, -0.111435103520271, 0, 0, 0.307453887696127, 0.212496588692182, 0.0949572990039452, 43.2814545454548, 43.2807096774192, 41.8683304647161, 41.8683304647161
5/3/2017, 43.01, 43.27, 42.79, 43.02, 4037698, 1.49021699933338, 0.614319491573792, -0.343817609580568, 0, 0, 0.294102611416903, 0.228817793237126, 0.0652848181797772, 43.125272727273, 43.3102150537633, 41.8989523809524, 41.8989523809524
5/4/2017, 42.98, 43.25, 42.67, 42.77, 2608562, 1.49178579718859, 0.134319893021115, -0.365995744717756, 0, 0, 0.260347593119313, 0.235123753213564, 0.0252238399057495, 43.0085454545457, 43.2907096774192, 41.9169056087552, 41.9169056087552
5/5/2017, 42.91, 43.39, 42.73, 43.39, 3099954, 1.47300056737654, 0.390187275893646, 0.126795912953603, 0, 0, 0.280393119032944, 0.24417762637744, 0.036215492655504, 43.0645454545457, 43.3584731182794, 41.9626062550121, 41.9626062550121
5/8/2017, 43.41, 43.56, 43.22, 43.26, 2119068, 1.44285297936997, 0.499046519752686, -0.106145901080885, 0, 0, 0.282532569603077, 0.251848615022567, 0.0306839545805102, 43.1003636363639, 43.3883440860213, 42.0007392894462, 42.0007392894462
5/9/2017, 43.43, 43.96, 43.43, 43.79, 2403827, 1.43404724579054, 1.07865123362979, -0.0359743779140898, 0, 0, 0.323268235210989, 0.266132539060252, 0.0571356961507374, 43.305272727273, 43.4835268817202, 42.0611746680286, 42.0611746680286
5/10/2017, 43.74, 44.2, 43.69, 44.1, 3775476, 1.4105914387417, 1.44606220804131, 0.416725472858495, 0, 0, 0.376229018975465, 0.288151835043294, 0.0880771839321708, 43.6641818181821, 43.6311827956987, 42.1330711610487, 42.1330711610487
5/11/2017, 43.65, 43.77, 42.68, 42.91, 8783158, 1.54268767947061, 0.943299662660478, 0.0440110107590831, 0, 0, 0.3185062254123, 0.294222713117095, 0.0242835122952043, 43.5689090909094, 43.6671612903223, 42.1502881562882, 42.1502881562882
5/12/2017, 42.75, 42.78, 42.07, 42.13, 6413088, 1.59237816068786, 0.236917236652635, -0.32930757280138, 0, 0, 0.207429891704258, 0.276864148834528, -0.0694342571302697, 43.1227272727276, 43.6051182795697, 42.1475067155067, 42.133215480172
