Date,XLI_Open,XLI_High,XLI_Low,XLI_Close,XLI_Volume,XLI_ATRPercentOfClose20,XLI_SQN25,XLI_SQN50,XLI_SQN100,XLI_SQN200,XLI_MACD,XLI_MACD_Avg,XLI_MACD_Diff,XLI_LinReg10,XLI_LinReg30,XLI_LinReg90,XLI_LinReg270
3/16/2018, 76.09, 76.85, 76.09, 76.58, 10839980, 1.67433927083095, 0.926100221710267, 0.0525682674927994, 0.537794495176108, 0.838149312498694, -0.0612487161217103, -0.0807807128721896, 0.0195319967504792, 76.9307272727278, 77.1575483870988, 78.8340586080593, 77.5681273746071
3/19/2018, 76.36, 76.39, 75.37, 75.99, 10845665, 1.68258792330862, 0.576236177406444, -0.115331573984973, 0.523145773699934, 0.748737375335918, -0.116430505157481, -0.0879106713292479, -0.0285198338282335, 76.5040000000005, 77.2183010752709, 78.7614261294268, 77.6157971846385
3/20/2018, 76.14, 76.7, 76.09, 76.25, 7111751, 1.63956542265719, 0.35075360029061, -0.15428860245151, 0.501138293379048, 0.745342498992358, -0.137596516451538, -0.0978478403537059, -0.0397486760978319, 76.2372727272733, 77.0889462365612, 78.6995848595855, 77.6651630449638
3/21/2018, 76.26, 77.13, 76.02, 76.34, 13818748, 1.62845192957467, 0.329520995719056, -0.187454056259297, 0.615814217519723, 0.775603391151423, -0.14543203508417, -0.107364679299799, -0.0380673557843711, 76.0061818181824, 77.050064516131, 78.6358827838835, 77.7118324449911
3/22/2018, 75.58, 75.84, 73.72, 73.82, 18793875, 1.77729909629564, -0.489468498263521, -0.593678889130642, 0.253545274837063, 0.584733282458904, -0.350939270080275, -0.156079597455894, -0.194859672624381, 74.9856363636369, 76.6973548387116, 78.4387448107454, 77.7225693590269
3/23/2018, 73.93, 74.5, 72.68, 72.74, 15457050, 1.83860610838764, -1.01025988729617, -0.739747096444144, 0.108209820772878, 0.498888989113289, -0.594103750261496, -0.243684428017014, -0.350419322244482, 74.0903636363642, 76.0260215053783, 78.1945250305257, 77.7185223452234
3/26/2018, 73.95, 74.6, 73.13, 74.5, 12196957, 1.83024426722028, -0.545770055898407, -0.605062061788842, 0.394365285499698, 0.612835000441019, -0.637447958377706, -0.322437134089153, -0.315010824288553, 73.920545454546, 75.6324731182815, 78.0206739926746, 77.7378630586305
3/27/2018, 74.85, 75.25, 73.04, 73.47, 14726013, 1.91350943259174, -0.598704356915224, -0.83989333407944, 0.301210978310799, 0.505014052095914, -0.746307973757908, -0.407211302022904, -0.339096671735004, 73.4814545454551, 75.1831182795719, 77.7948815628822, 77.7495427087604
3/28/2018, 73.72, 73.81, 72.64, 73.22, 21892349, 1.90393691767126, -0.65579203898651, -0.785093354227463, 0.274883411766729, 0.463363787988141, -0.843035245366238, -0.494376090691571, -0.348659154674667, 72.9860000000006, 74.72324731183, 77.5471916971923, 77.7516728167281
3/29/2018, 73.61, 74.85, 73.5, 74.29, 14057057, 1.89239397033645, -0.5199309641205, -0.684823627270677, 0.353961316244292, 0.521664779439539, -0.823855355653492, -0.560271943683955, -0.263583411969538, 73.0700000000006, 74.4750537634428, 77.3587496947503, 77.7695140084733
4/2/2018, 74.07, 74.2, 71.78, 72.76, 27498816, 2.00806281821716, -0.933957130985492, -0.824131364399933, 0.17167568754232, 0.401566134828432, -0.92149099356341, -0.632515753659846, -0.288975239903564, 72.7649090909097, 74.1212043010772, 77.0922710622717, 77.7629752630859
4/3/2018, 73.13, 73.82, 72.63, 73.77, 20149088, 1.96219761584393, -0.932018599492139, -0.707317296221399, 0.289069605303886, 0.444668414862099, -0.906915029036256, -0.687395608735128, -0.219519420301128, 72.8990909090916, 73.925935483873, 76.8753968253974, 77.7693680470137
4/4/2018, 72.19, 74.17, 72.01, 74.09, 19987579, 2.00180526676699, -0.686627085943474, -0.663659368586496, 0.313888617520361, 0.477601693434722, -0.85963283427526, -0.721843053843154, -0.137789780432106, 73.3169090909097, 73.7419784946257, 76.6816825396832, 77.7781320213201
4/5/2018, 74.5, 75.02, 74.28, 74.84, 16496058, 1.94478974617888, -0.324077308269174, -0.565733274954999, 0.41733959397524, 0.499505231851989, -0.752962934285577, -0.728067029931639, -0.0248959043539381, 74.129636363637, 73.6701290322601, 76.5205079365085, 77.7950386770533
4/6/2018, 74.1, 74.55, 72.11, 72.77, 18353352, 2.08768258037414, -0.428003157522137, -0.801321841248132, 0.276450140498748, 0.394376930678453, -0.825937081766199, -0.747641040298551, -0.0782960414676479, 73.8050909090916, 73.3805376344106, 76.2663369963376, 77.7836405630722
4/9/2018, 73.18, 73.72, 72.43, 72.55, 10279198, 2.07821679262763, -0.467579627967341, -0.839628749814537, 0.237976756440001, 0.415580056045658, -0.891248028290718, -0.776362437896984, -0.114885590393734, 73.2458181818189, 73.1332473118299, 76.0042197802204, 77.7681366680332
4/10/2018, 73.64, 74.09, 73.14, 73.66, 18495350, 2.04908901561062, -0.415568899807618, -0.799968564615865, 0.396573295116778, 0.509253365676948, -0.843713892054495, -0.789832728728487, -0.0538811633260086, 73.4323636363643, 73.1312258064536, 75.8140976800983, 77.7638400984009
4/11/2018, 73, 73.7, 72.99, 73.12, 10633910, 2.00956102359661, -0.583663647670534, -0.805715337081845, 0.355981537905803, 0.447349291521008, -0.839933997373066, -0.799852982457403, -0.0400810149156635, 73.2721818181825, 73.0275268817225, 75.6138315018321, 77.7563739237391
