Date,PGJ_Open,PGJ_High,PGJ_Low,PGJ_Close,PGJ_Volume,PGJ_ATRPercentOfClose20,PGJ_SQN25,PGJ_SQN50,PGJ_SQN100,PGJ_SQN200,PGJ_MACD,PGJ_MACD_Avg,PGJ_MACD_Diff,PGJ_LinReg10,PGJ_LinReg30,PGJ_LinReg90,PGJ_LinReg270
9/12/2017, 44.33, 44.61, 44.1, 44.59, 52436, 1.68641097041853, 0.433455316874038, 1.82940361838577, 1.95213557621888, 0, 0.633051032210687, 0.46881905169059, 0.164231980520098, 44.4110909090929, 43.1136559139789, 43.2539267399267, 43.5029292207792
9/13/2017, 44.61, 45.15, 44.5, 44.83, 44479, 1.66600963445046, 0.464975819279012, 1.9347328902489, 1.93918114316818, 0, 0.715894828265903, 0.518234207005652, 0.19766062126025, 44.6745454545474, 43.3885806451618, 43.3671037851037, 43.6105026964561
9/14/2017, 44.67, 44.96, 44.2, 44.73, 57998, 1.67120168380938, 0.412760003550871, 1.870458460148, 1.88160434934279, 0, 0.764665382687902, 0.567520442142102, 0.1971449405458, 44.8640000000019, 43.5828172043015, 43.4829743589743, 43.713502190059
9/15/2017, 44.81, 44.94, 44.5, 44.51, 60423, 1.64491594587629, 1.05205032848412, 1.93072232969186, 1.70135660150354, 0, 0.776611938059119, 0.609338741325506, 0.167273196733614, 44.962909090911, 43.7560860215058, 43.5965909645909, 43.8093678990647
9/18/2017, 44.77, 45.03, 44.62, 44.94, 28051, 1.60557294867392, 1.10950637267849, 1.959449513721, 1.79057991051557, 0, 0.811423490694011, 0.649755691199207, 0.161667799494804, 45.1932727272747, 43.9875913978499, 43.7334114774114, 43.9126815642458
9/19/2017, 45.11, 45.12, 44.58, 44.83, 37318, 1.58926446347838, 0.893551697959095, 1.75388713215533, 1.73202047138582, 0, 0.820675579046771, 0.68393966876872, 0.136735910278051, 45.170909090911, 44.2559784946242, 43.8602832722832, 44.0113572744014
9/20/2017, 45.02, 45.07, 44.11, 44.61, 31720, 1.62484621391726, 1.00970813907669, 1.60194367794159, 1.73979604638642, 0, 0.801022080416644, 0.707356151098305, 0.0936659293183391, 45.0061818181838, 44.4952473118285, 43.9767081807081, 44.1030981725457
9/21/2017, 44.7, 44.7, 43.67, 44.06, 25827, 1.67975874086942, 0.717478066232416, 1.22220603743653, 1.58168337226925, 0, 0.732620939547836, 0.712409108788211, 0.0202118307596248, 44.7469090909111, 44.6617849462371, 44.0679023199022, 44.1808809223563
9/22/2017, 43.99, 44, 43.74, 44, 15655, 1.63431049128571, 1.03155966576159, 1.21242614339366, 1.58838838035339, 0, 0.665895020752636, 0.703106291181096, -0.0372112704284601, 44.3827272727293, 44.7024301075274, 44.180923076923, 44.2556693989071
9/25/2017, 43.8, 43.8, 42.18, 42.5, 58291, 1.82151008319395, 0.278782658515196, 0.63937357543375, 1.32606707528134, 0, 0.486370212343267, 0.65975907541353, -0.173388863070263, 43.6023636363656, 44.5544301075274, 44.1984884004883, 44.2964858989424
9/26/2017, 42.98, 43.33, 42.65, 42.71, 28735, 1.81909317745155, 0.00760297847803386, 0.750620968551883, 1.36330699328153, 0, 0.356926328690982, 0.599192526069021, -0.242266197378039, 43.0783636363656, 44.4619784946242, 44.2222393162392, 44.3408265039233
