Date,XLB_Open,XLB_High,XLB_Low,XLB_Close,XLB_Volume,XLB_ATRPercentOfClose20,XLB_SQN25,XLB_SQN50,XLB_SQN100,XLB_SQN200,XLB_MACD,XLB_MACD_Avg,XLB_MACD_Diff,XLB_LinReg10,XLB_LinReg30,XLB_LinReg90,XLB_LinReg270
10/6/2017, 57.78, 57.93, 57.67, 57.9, 2631175, 0.765080245788385, 1.91005080996329, 1.10745142517978, 1.36125459513863, 0, 0.692468978320562, 0.603613657651752, 0.08885532066881, 58.053818181819, 57.8425161290318, 56.391904761905, 56.0762058650714
10/9/2017, 57.96, 57.99, 57.7, 57.89, 1669516, 0.751999290371223, 1.67731135828542, 1.19404891605247, 1.78549658851854, 0, 0.696480453203939, 0.62218701676219, 0.0742934364417498, 58.1963636363645, 57.9542365591393, 56.4929743589746, 56.1397398889771
10/10/2017, 58.11, 58.11, 57.73, 57.93, 2572249, 0.746704246048862, 2.48519226128271, 1.41840857222655, 1.78736499941324, 0, 0.694877130640158, 0.636725039537783, 0.0581520911023747, 58.2350909090918, 58.0540430107522, 56.5956263736266, 56.2028864468865
10/11/2017, 57.9, 57.96, 57.66, 57.96, 2016799, 0.734881782693756, 2.38824910009095, 1.41319521558148, 1.66795833844762, 0, 0.688095300931884, 0.646999091816604, 0.0410962091152807, 58.2007272727282, 58.1182580645156, 56.6928229548232, 56.2654511550814
10/12/2017, 57.84, 58.15, 57.82, 58.07, 3188107, 0.725229218506692, 2.40025210614909, 1.43651362796408, 1.68011450726262, 0, 0.683715288471774, 0.654342331147638, 0.029372957324136, 58.1992727272736, 58.1991612903221, 56.7923589743592, 56.3290586063683
10/13/2017, 58.44, 58.5, 58.32, 58.35, 3357867, 0.722508272197933, 2.63139896904658, 1.76385753476265, 1.74319870223007, 0, 0.694828209895078, 0.662439506897126, 0.0323887029979524, 58.2252727272736, 58.3215268817199, 56.902495726496, 56.3970930409625
10/16/2017, 58.61, 58.64, 58.14, 58.31, 3313103, 0.729728002034161, 2.29142418006468, 1.63413930512637, 1.6295476197273, 0, 0.692425761324785, 0.668436757782658, 0.0239890035421269, 58.2769090909099, 58.441655913978, 57.0110915750918, 56.4630703517589
10/17/2017, 58.24, 58.28, 58.01, 58.16, 2741054, 0.720820457508276, 1.80545479005151, 1.55130759286767, 1.60423120919503, 0, 0.670686797216163, 0.668886765669359, 0.0018000315468043, 58.2761818181827, 58.4821720430103, 57.1252625152627, 56.524852238806
10/18/2017, 58.18, 58.22, 57.97, 58.02, 4439289, 0.70797607580571, 1.67267968380799, 1.72039104971311, 1.53172026960625, 1.1451552872836, 0.634843599726885, 0.662078132480864, -0.0272345327539791, 58.2038181818191, 58.4925806451608, 57.2260610500612, 56.5827289296095
10/19/2017, 57.9, 58.24, 57.7, 58.24, 2725386, 0.716396519957674, 1.68961778502128, 1.78860409470943, 1.59534079913389, 1.07550494658758, 0.617076495144381, 0.653077805013568, -0.0360013098691863, 58.25890909091, 58.517032258064, 57.3489499389501, 56.6438623616057
10/20/2017, 58.46, 58.74, 58.44, 58.74, 4737369, 0.717344001638035, 2.40152758874353, 2.37576922807277, 1.67427597100603, 1.15935742562745, 0.636010228076678, 0.64966428962619, -0.0136540615495117, 58.4492727272736, 58.5828817204296, 57.4785054945057, 56.7136569110404
10/23/2017, 58.92, 59.17, 58.6, 58.63, 3146515, 0.731365296322826, 2.025533826751, 2.39350672929274, 1.47085006143206, 1.13740570343728, 0.634821440737852, 0.646695719848522, -0.0118742791106703, 58.5538181818191, 58.6587096774188, 57.5894945054947, 56.7800487804879
10/24/2017, 58.78, 59.05, 58.74, 58.96, 4225181, 0.726525609858156, 2.04054775263768, 2.33047492406249, 1.51956182564053, 1.17967391283247, 0.652980408597884, 0.647952657598395, 0.00502775099948916, 58.7400000000009, 58.789032258064, 57.7111013431016, 56.8516343831401
10/25/2017, 58.96, 59.03, 58.39, 58.65, 5658901, 0.748408396579284, 1.51283453319601, 2.15407186660387, 1.48077914848697, 1.1334541872007, 0.635036803262039, 0.645369486731124, -0.0103326834690842, 58.76890909091, 58.8608817204296, 57.8250940170943, 56.9159631349375
10/26/2017, 59.15, 59.62, 58.93, 59.43, 6992972, 0.783265099047725, 1.98847565385777, 2.1943831362455, 1.6559829596674, 1.16568354004121, 0.675963758588523, 0.651488341102604, 0.0244754174859194, 59.0516363636373, 59.0284301075263, 57.9634383394386, 56.9941020995913
10/27/2017, 59.38, 59.38, 58.78, 59.12, 5191108, 0.802976532384742, 1.8802910428496, 2.65874271586917, 1.54371808032064, 1.13963547972211, 0.67559640155271, 0.656309953192625, 0.019286448360085, 59.2090909090918, 59.1169032258059, 58.0716971916974, 57.0649424917189
10/30/2017, 59.05, 59.17, 58.72, 58.84, 5245711, 0.804697042230739, 1.55205712145241, 2.48046530958525, 1.41555532557414, 1.11457442471534, 0.645273299583877, 0.654102622470875, -0.00882932288699811, 59.2198181818191, 59.1708387096769, 58.1649914529917, 57.1292098427889
10/31/2017, 58.91, 59.15, 58.89, 59, 4005945, 0.788660258756166, 1.89837548761821, 2.52879264216612, 1.27802244887641, 1.16988882776537, 0.626925874399362, 0.648667272856573, -0.0217413984572109, 59.22690909091, 59.248537634408, 58.266136752137, 57.1953649289101
11/1/2017, 59.3, 59.48, 59.07, 59.29, 5601046, 0.786041617528809, 2.09416944876601, 2.41456320044875, 1.42089761753067, 1.16032321743645, 0.62854055980295, 0.644641930245848, -0.0161013704428983, 59.2603636363646, 59.3613333333328, 58.3797411477414, 57.265814182241
11/2/2017, 59.37, 59.37, 58.73, 58.86, 12818828, 0.806561113287784, 1.43407816875923, 2.20386341149847, 1.11144103287378, 1.15214842495009, 0.588340777030233, 0.633381699602725, -0.0450409225724925, 59.1200000000009, 59.3959569892467, 58.4633479853483, 57.3269771458943
11/3/2017, 58.9, 58.9, 58.55, 58.83, 3791017, 0.796370521361771, 1.41182996702163, 2.24668363120849, 1.29733941117805, 1.08618701773202, 0.54774732013388, 0.616254823708956, -0.0685075035750764, 59.0354545454555, 59.3998279569887, 58.5527374847378, 57.3865073932694
11/6/2017, 58.75, 59, 58.52, 58.58, 3698343, 0.800750322347684, 0.854828681452695, 2.01960496381762, 1.38606170242911, 1.0385501352887, 0.489758175042624, 0.59095549397569, -0.101197318933065, 58.8376363636372, 59.3639354838704, 58.6133406593409, 57.440355140187
11/7/2017, 58.67, 58.76, 58.46, 58.64, 3625964, 0.785514259702779, 0.729497074000053, 2.00732495661704, 1.40977611756508, 0.88571909017474, 0.443530119201405, 0.561470419020833, -0.117940299819428, 58.7292727272736, 59.306537634408, 58.6793040293043, 57.494365633075
11/8/2017, 58.73, 58.81, 58.54, 58.7, 2566659, 0.768474078015714, 0.758305197610062, 2.19732748710038, 1.3026180128355, 0.843992991972957, 0.40704340742608, 0.530585016701882, -0.123541609275802, 58.5970909090918, 59.2423010752683, 58.7547960927964, 57.5485351595836
11/9/2017, 58.4, 58.5, 58.02, 58.2, 4727059, 0.794741528531723, 0.131682763775366, 1.7171650567364, 1.24337660831727, 0.754043094795408, 0.33393224113572, 0.49125446158865, -0.15732222045293, 58.4454545454554, 59.1264516129027, 58.8011941391945, 57.5926085485986
11/10/2017, 58.01, 58.27, 57.99, 58.11, 2850003, 0.780266031879522, 0.160394648144085, 1.4871420765793, 1.41923445607864, 0.770328026272609, 0.265666430040582, 0.446136855279036, -0.180470425238454, 58.267818181819, 58.9901505376339, 58.8353211233215, 57.6342641699133
11/13/2017, 57.89, 58.49, 57.7, 58.41, 2704230, 0.805070983682469, 0.371448920695256, 1.45674249819304, 1.48442067834535, 0.894072377654387, 0.233085906475552, 0.403526665518339, -0.170440759042788, 58.1929090909099, 58.9247956989242, 58.8856703296707, 57.6806259858863
11/14/2017, 58.06, 58.12, 57.73, 57.88, 3686724, 0.830562998428618, -0.0192313893064308, 1.5502499809837, 1.24678295186202, 0.867045737881587, 0.162624403323747, 0.355346213079421, -0.192721809755674, 57.9903636363645, 58.8018064516124, 58.91727960928, 57.7166096256685
11/15/2017, 57.53, 57.68, 57.26, 57.53, 5480646, 0.84772009441328, -0.260073766177469, 1.28553638723445, 1.08853503159058, 0.780488087067027, 0.0776460244632204, 0.299806175356181, -0.22216015089296, 57.7860000000009, 58.6343225806446, 58.9293211233215, 57.7456610003669
11/16/2017, 57.73, 58.3, 57.68, 58.23, 3507354, 0.861770052893975, 0.10728480452851, 1.50634580084918, 1.37881699872563, 0.902550879070866, 0.0660231233677848, 0.253049564958502, -0.187026441590717, 57.8334545454554, 58.5799569892468, 58.9836678876683, 57.7867115097161
11/17/2017, 58.08, 58.5, 58.03, 58.31, 2825905, 0.857860172715063, -0.00863541665439414, 1.55326501716271, 1.26236827839671, 0.899846282201107, 0.0625462279412403, 0.214948897555049, -0.152402669613809, 57.93690909091, 58.525784946236, 59.0378339438343, 57.8284737347854
11/20/2017, 58.26, 58.56, 58.18, 58.39, 4159083, 0.846390397969937, 0.0612637313453804, 1.31230005542523, 1.5213977394946, 0.931560428557193, 0.0654911534282405, 0.185057348729688, -0.119566195301447, 58.0463636363645, 58.4784516129027, 59.0992722832727, 57.8709333333334
11/21/2017, 58.72, 58.99, 58.63, 58.7, 3100151, 0.850931832548405, 0.325644886078268, 1.24355622919229, 1.51974225221072, 1.03605261115901, 0.0917814380299831, 0.166402166589747, -0.0746207285597637, 58.2852727272736, 58.4698924731178, 59.1744053724058, 57.9181380530974
11/22/2017, 58.76, 58.78, 58.54, 58.54, 2375836, 0.831093502597571, 0.314599642773378, 1.17156756654917, 1.3332198139671, 0.996614284292509, 0.0985697642788637, 0.15283568612757, -0.0542659218487065, 58.4776363636372, 58.4380645161285, 59.2349865689869, 57.9617301469729
11/24/2017, 58.67, 58.91, 58.64, 58.84, 1223172, 0.816954503058442, 0.35719652961507, 1.21476960638422, 1.47854355821812, 1.03788402975677, 0.126696575279809, 0.147607863958018, -0.0209112886782092, 58.6823636363645, 58.4478924731178, 59.3179609279613, 58.0098330628333
11/27/2017, 58.87, 58.87, 58.48, 58.49, 3801194, 0.814089977978471, -0.130522041416599, 1.19352048607324, 1.44852291443079, 0.923704062454554, 0.119369187029498, 0.141960128572314, -0.0225909415428156, 58.7132727272736, 58.4270107526876, 59.3741953601958, 58.0510292653031
11/28/2017, 58.59, 59.17, 58.56, 59.14, 4400650, 0.822376000530313, 0.29231677224373, 1.30763490385305, 1.53088098362942, 0.942829339565736, 0.164119875015381, 0.146392077860927, 0.0177277971544532, 59.0080000000009, 58.485032258064, 59.4566910866915, 58.1028069109551
11/29/2017, 59.21, 59.27, 59.02, 59.23, 3869076, 0.801174250173807, 0.163410755755202, 1.217703416995, 1.45609811355747, 0.955966245548364, 0.204490130559691, 0.15801168840068, 0.0464784421590109, 59.1880000000009, 58.5391182795694, 59.5391672771677, 58.1552840203276
11/30/2017, 59.36, 59.97, 59.25, 59.56, 7508643, 0.819020706781479, 0.515723224607218, 1.26621924852818, 1.5724651020721, 1.00776394802418, 0.260113662617954, 0.178432083244135, 0.0816815793738191, 59.3383636363645, 58.6188387096769, 59.6462344322348, 58.2125757575759
12/1/2017, 59.67, 59.75, 58.62, 59.07, 8183852, 0.880173178112572, -0.194201791685186, 1.07264546974231, 1.24140640028795, 0.940361604180109, 0.261640775625217, 0.195073821720351, 0.066566953904866, 59.3487272727281, 58.6411182795694, 59.7215726495731, 58.260542030487
12/4/2017, 59.49, 60.17, 59.47, 59.68, 6523438, 0.919776108404058, 0.325413458929248, 1.40423390336613, 1.41863066554312, 1.03612350235877, 0.308516539085325, 0.217762365193346, 0.0907541738919788, 59.5400000000008, 58.7687741935479, 59.8164859584864, 58.3181247936613
