Date,FXF_Open,FXF_High,FXF_Low,FXF_Close,FXF_Volume,FXF_ATRPercentOfClose20,FXF_SQN25,FXF_SQN50,FXF_SQN100,FXF_SQN200,FXF_MACD,FXF_MACD_Avg,FXF_MACD_Diff,FXF_LinReg10,FXF_LinReg30,FXF_LinReg90,FXF_LinReg270
3/2/2018, 100.71, 100.71, 100.37, 100.47, 27684, 0.625040237946424, 0.107270175940466, 1.38002714170284, 0.841985549198825, 0.460448079868055, 0.292223080545412, 0.52971640138319, -0.237493320837778, 99.9241818181826, 100.965225806451, 100.939260073259, 98.6036739100724
3/5/2018, 100.41, 100.41, 100.1, 100.15, 17417, 0.614157794020503, -0.297490367284389, 1.27331092947107, 0.794147453509056, 0.355270393750764, 0.24974525069392, 0.473722171245336, -0.223976920551417, 100.025454545455, 100.769483870967, 101.034971916971, 98.6435282219488
3/6/2018, 100.33, 100.46, 100.03, 100.06, 17172, 0.6054618020947, -0.160806874878373, 1.27143595389021, 0.682611493880951, 0.350052594595251, 0.206439312768183, 0.420265599549906, -0.213826286781723, 99.9934545454555, 100.548860215053, 101.111931623931, 98.6776610632772
3/7/2018, 100.02, 100.02, 99.75, 99.82, 17779, 0.592099604505269, -0.346618717695597, 1.2459098966729, 0.591080492229138, 0.255234390315492, 0.151012275216473, 0.366414934683219, -0.215402659466746, 99.8487272727282, 100.313634408601, 101.176148962148, 98.7084914582478
3/8/2018, 99.46, 99.46, 98.91, 98.93, 28232, 0.613547087795715, -0.870966035909383, 0.989039529171773, 0.443588263125934, 0.165983214247288, 0.0348684449384393, 0.300105636734263, -0.265237191795824, 99.5429090909101, 100.040387096773, 101.181645909645, 98.7217285772857
3/9/2018, 99.04, 99.17, 98.99, 98.99, 8760, 0.59463887994594, -1.08844222091159, 1.02007605214911, 0.436876498128536, 0.184385184288702, -0.0517384698940759, 0.229736815408595, -0.281475285302671, 99.2929090909101, 99.8161935483861, 101.185606837606, 98.733988246549
3/12/2018, 99.07, 99.48, 99.07, 99.37, 120134, 0.587402008549423, -0.724108093011354, 1.05596935110128, 0.559679359682837, 0.218226357792983, -0.088689887840971, 0.166051474758682, -0.254741362599653, 99.2198181818193, 99.6968172043, 101.211716727716, 98.7497406040726
3/13/2018, 99.61, 99.8, 99.58, 99.73, 3276, 0.577575761657258, -0.397067969017238, 0.952529702373966, 0.682441652974684, 0.248651108478877, -0.0879117692769711, 0.115258825951551, -0.203170595228523, 99.3070909090921, 99.6033118279559, 101.243108669108, 98.7698994123274
3/14/2018, 99.47, 99.66, 99.32, 99.64, 10415, 0.569766651691835, -0.354952548922503, 0.804410089720943, 0.721050857902248, 0.25430989266766, -0.0934797758803683, 0.0735111055851675, -0.166990881465536, 99.2827272727284, 99.5186881720419, 101.25405128205, 98.7893552002186
3/15/2018, 99.3, 99.35, 98.93, 98.93, 71221, 0.581046919193831, -0.332350455435027, 0.527126220676845, 0.451693687045442, 0.174690835017305, -0.153415054263306, 0.0281258736154729, -0.181540927878779, 99.0534545454557, 99.3843440860204, 101.239528693528, 98.8036591499247
