Date,XAUUSD_Open,XAUUSD_High,XAUUSD_Low,XAUUSD_Close,XAUUSD_Volume,XAUUSD_ATRPercentOfClose20,XAUUSD_SQN25,XAUUSD_SQN50,XAUUSD_SQN100,XAUUSD_SQN200,XAUUSD_MACD,XAUUSD_MACD_Avg,XAUUSD_MACD_Diff,XAUUSD_LinReg10,XAUUSD_LinReg30,XAUUSD_LinReg90,XAUUSD_LinReg270
8/24/2017, 1290.63, 1291.21, 1284.8, 1286.23, 592900000, 0.864638914518971, 1.1924041094644, 0.652786053456091, 0.471012679554323, 0, 9.86590623980192, 9.60665456703227, 0.259251672769643, 1288.43154545455, 1293.92259139788, 1264.48902564103, 1275.1490898016
8/25/2017, 1286.16, 1293.685, 1280.2, 1291.18, 591300000, 0.87047761386534, 1.06274215449078, 0.760858947217901, 0.499126651354508, 0, 9.85106003028795, 9.65553565968341, 0.195524370604545, 1291.40454545455, 1294.4723870968, 1266.7096959707, 1275.90161403509
8/28/2017, 1290.78, 1311.97, 1290.66, 1309.815, 599200000, 0.896535862848659, 1.43528139918228, 1.26908535916132, 0.70670695801507, 0, 11.2137182988422, 9.96717218751517, 1.24654611132703, 1299.13700000001, 1297.33984946239, 1269.53695848596, 1277.06983272134
8/29/2017, 1309.85, 1325.645, 1305.215, 1309.075, 588100000, 0.930222726075481, 1.57680772479426, 1.26418969844288, 0.466942506252471, 0, 12.0945050528505, 10.3926387605822, 1.7018662922683, 1303.07372727273, 1300.18396774196, 1272.04877411477, 1278.19625991397
8/30/2017, 1309.125, 1313.34, 1305.115, 1308.5, 606800000, 0.91552904041299, 1.29621023701359, 1.18683922346765, 0.309345363855789, 0, 12.6008820817424, 10.8342874248143, 1.76659465692812, 1307.0610909091, 1302.44931182798, 1274.61662148962, 1279.28573848913
8/31/2017, 1308.575, 1323.35, 1301.04, 1321.42, 616800000, 0.945665467384615, 1.64818768916878, 1.32175895386805, 0.451133205254249, 0, 13.8846716960393, 11.4443642790593, 2.44030741698001, 1315.09790909091, 1306.13590322583, 1277.61903052503, 1280.64677077175
9/1/2017, 1321.31, 1328.72, 1316.65, 1325.085, 603100000, 0.941441642472602, 1.49659034642858, 1.27399154932819, 0.537607519105539, 0, 15.0246245654055, 12.1604163363285, 2.86420822907696, 1321.87927272728, 1310.4806666667, 1280.82276068376, 1282.06266396104
9/4/2017, 1324.725, 1338.95, 1324.64, 1333.65, 500200000, 0.942275476230658, 1.6954983033897, 1.6975575289991, 0.633393303531573, 0, 16.4297771033371, 13.0142884897302, 3.41548861360685, 1330.83754545455, 1315.4677526882, 1284.10894017094, 1283.64242199537
9/5/2017, 1333.32, 1343.84, 1328.48, 1339.63, 613200000, 0.948495035518215, 1.8635564130075, 1.75171608521609, 0.644529411930701, 0, 17.8204831988296, 13.9755274315501, 3.8449557672795, 1338.17345454546, 1320.3651182796, 1287.60083150183, 1285.32395702406
9/6/2017, 1339.525, 1342.25, 1331.87, 1333.9, 636200000, 0.943849452140118, 1.75677513987141, 1.59411318956574, 0.701776555450569, 0, 18.2498912998699, 14.8304002052141, 3.41949109465583, 1341.71136363637, 1324.70276344089, 1290.38376556776, 1286.84374521373
9/7/2017, 1333.965, 1349.67, 1332.45, 1349.105, 615800000, 0.950371353600512, 1.99895574961594, 1.89766795723336, 0.845497339667746, 0, 19.5912806519682, 15.7825762945649, 3.8087043574033, 1347.27627272728, 1330.34851612906, 1293.51237851038, 1288.66972067039
9/8/2017, 1349.1, 1357.14, 1342.9, 1346.48, 625100000, 0.957491539235085, 2.27844406637403, 1.93285195470567, 0.779491715067969, 0, 20.2095625585757, 16.6679735473671, 3.54158901120867, 1349.49481818182, 1335.77769892476, 1296.43526251526, 1290.40131522406
9/11/2017, 1346.26, 1346.26, 1326.445, 1327.56, 598800000, 0.998038542409982, 1.61522916507288, 2.05387013598179, 0.657084203043322, 0, 18.9543753052501, 17.1252538989437, 1.82912140630643, 1345.88800000001, 1338.32105376347, 1298.40954578755, 1291.68368708639
9/12/2017, 1327.485, 1331.96, 1322.925, 1331.81, 593100000, 0.979030976636086, 1.63781029881622, 2.07288775135237, 0.856995731744502, 0, 18.0939935505908, 17.3190018292731, 0.774991721317679, 1342.63345454546, 1340.99208602154, 1300.38764590965, 1293.03290127905
