Date,XLK_Open,XLK_High,XLK_Low,XLK_Close,XLK_Volume,XLK_ATRPercentOfClose20,XLK_SQN25,XLK_SQN50,XLK_SQN100,XLK_SQN200,XLK_MACD,XLK_MACD_Avg,XLK_MACD_Diff,XLK_LinReg10,XLK_LinReg30,XLK_LinReg90,XLK_LinReg270
11/13/2017, 63.26, 63.56, 63.25, 63.48, 4300290, 0.819122836149574, 1.76474462318525, 1.81707235326196, 1.8389238311665, 1.81508302502425, 1.01607829647668, 0.996086029918198, 0.0199922665584797, 63.7630909090877, 63.9391612903236, 62.3181855921857, 61.6357588210876
11/14/2017, 63.29, 63.42, 63, 63.35, 7370757, 0.817648330810359, 1.65377884072154, 2.02948400193659, 1.72287276136305, 1.84046228768241, 0.963680630175681, 0.989604949969695, -0.0259243197940142, 63.6465454545422, 64.0189677419365, 62.423330891331, 61.7201826408886
11/15/2017, 63.04, 63.13, 62.71, 62.88, 8492534, 0.833462478832608, 1.26127350594562, 1.7899962399265, 1.68753240400255, 1.72182689397427, 0.874153334581727, 0.966514626892101, -0.092361292310374, 63.3478181818149, 64.0105376344096, 62.5047814407815, 61.794705882353
11/16/2017, 63.34, 63.89, 63.34, 63.76, 7641083, 0.86006453317981, 1.66925700311375, 1.95868523085841, 2.15541517399383, 1.82782311128548, 0.864248435360459, 0.946061388585773, -0.0818129532253142, 63.3634545454513, 64.1286021505387, 62.6353137973139, 61.8836884418051
11/17/2017, 63.67, 63.72, 63.31, 63.35, 8302190, 0.85786628103816, 1.31029776899237, 2.01512941150051, 1.89336033200303, 1.72623988034695, 0.813932648957923, 0.919635640660203, -0.10570299170228, 63.2954545454513, 64.1754838709688, 62.744866910867, 61.9638557014735
11/20/2017, 63.5, 63.64, 63.41, 63.59, 6579936, 0.834699441084747, 1.31427572033765, 1.85380057647067, 2.30193331941197, 1.74983076879725, 0.784381162187188, 0.8925847449656, -0.108203582778412, 63.3459999999967, 64.2408817204311, 62.8709010989012, 62.0469130952381
11/21/2017, 63.84, 64.3, 63.79, 64.26, 8173956, 0.839941029966543, 1.56894523230324, 2.00321240221962, 2.45489180024599, 1.79161922016802, 0.805736764720798, 0.87521514891664, -0.0694783841958415, 63.6361818181785, 64.3727741935494, 63.0215140415141, 62.1403964601771
11/22/2017, 64.26, 64.28, 64.03, 64.14, 12115822, 0.818925476401116, 1.44147516707914, 1.98956497301838, 2.54918616131095, 1.76326815405715, 0.803713527221831, 0.860914824577678, -0.0572012973558473, 63.9221818181785, 64.4763225806462, 63.1672454212455, 62.2302089587151
11/24/2017, 64.24, 64.53, 64.22, 64.5, 4339077, 0.803869551217817, 1.68464273815704, 2.20528108429203, 2.49885149713494, 1.78035290976119, 0.821687189839764, 0.853069297630095, -0.0313821077903312, 64.2234545454512, 64.5911612903236, 63.330021978022, 62.3248249478322
11/27/2017, 64.39, 64.58, 64.28, 64.5, 6889160, 0.786931887610414, 1.5079595359945, 2.19243876541109, 2.67345587632981, 1.75841513386627, 0.826405162661914, 0.847736470636459, -0.0213313079745455, 64.4701818181785, 64.6976559139795, 63.4902783882784, 62.4178752011032
11/28/2017, 64.6, 64.77, 64.34, 64.71, 11311646, 0.778384351929039, 1.76120099371742, 2.24779165659677, 2.57422478038254, 1.74982907758383, 0.837435994215888, 0.845676375352345, -0.00824038113645731, 64.7309090909057, 64.8196559139795, 63.6530598290599, 62.5130339851909
11/29/2017, 64.6, 64.61, 62.84, 63.28, 33640233, 0.903931555667851, 0.88167249564363, 1.43239073819621, 1.99114229078201, 1.51293977977742, 0.722460879402433, 0.821033276162363, -0.0985723967599292, 64.404545454542, 64.7344731182806, 63.7511404151405, 62.5819232072276
11/30/2017, 63.56, 64.01, 63.33, 63.84, 21047475, 0.90837640038422, 1.21356444853092, 1.68731283057688, 2.077200708215, 1.54905677427648, 0.668819853501269, 0.790590591630144, -0.121770738128875, 64.1814545454511, 64.7138279569903, 63.8671013431014, 62.6592875802359
12/1/2017, 63.45, 63.83, 62.59, 63.51, 19211806, 0.965851234931541, 0.98578644914864, 1.69413845484945, 1.83007897678909, 1.49146518752534, 0.592846743709742, 0.751041822046064, -0.158195078336321, 63.9679999999966, 64.6201505376354, 63.9688815628816, 62.7297173301762
12/4/2017, 63.91, 63.94, 62.43, 62.49, 16805547, 1.05335495813693, -0.00113308508837085, 1.27998481115088, 1.51545666934795, 1.32923021503537, 0.445200042377806, 0.689873466112412, -0.244673423734606, 63.3338181818147, 64.4061935483881, 64.0169450549452, 62.7815758776274
12/5/2017, 62.38, 63.23, 62.11, 62.51, 13927081, 1.0899527078432, -0.0506811542020341, 1.56159275375631, 1.4017381093885, 1.29555940593488, 0.326044364213153, 0.61710764573256, -0.291063281519407, 62.8014545454511, 64.1664731182806, 64.0608937728938, 62.8328827059466
