Date,VNQ_Open,VNQ_High,VNQ_Low,VNQ_Close,VNQ_Volume,VNQ_ATRPercentOfClose20,VNQ_SQN25,VNQ_SQN50,VNQ_SQN100,VNQ_SQN200,VNQ_MACD,VNQ_MACD_Avg,VNQ_MACD_Diff,VNQ_LinReg10,VNQ_LinReg30,VNQ_LinReg90,VNQ_LinReg270
2/5/2018, 76.7, 77.54, 74.69, 74.79, 8861935, 1.41706822822275, -1.91368373618987, -1.92524064230144, -1.57370993030215, -0.878819817628174, -1.3100322955482, -1.05648171135104, -0.253550584197157, 76.276363636362, 77.3604086021524, 80.0529938949943, 82.5503750170832
2/6/2018, 73.55, 75.2, 73.09, 74.8, 12554111, 1.48707762231739, -1.91863183481055, -1.88754654370325, -1.53831812889042, -0.853214010757528, -1.48658816228446, -1.14250300153772, -0.344085160746738, 75.3479999999984, 76.7805161290342, 79.70601953602, 82.4266885335517
2/7/2018, 74.78, 75.92, 74.43, 74.48, 7480007, 1.51882029862881, -1.9288502225722, -1.97532264843939, -1.71305251632093, -0.810223873933908, -1.63350129819142, -1.24070266086846, -0.392798637322955, 74.5376363636348, 76.2390967741955, 79.3630402930407, 82.2951674183406
2/8/2018, 74.15, 74.93, 72.27, 72.34, 11116857, 1.66941732167238, -2.20000499725272, -2.17875984688488, -1.99204257037057, -1.00201406964222, -1.90070103375166, -1.3727023354451, -0.527998698306556, 73.2670909090892, 75.5009032258084, 78.9364786324791, 82.1358712587123
2/9/2018, 72.79, 74.74, 72.05, 74.15, 12718475, 1.72862261088727, -1.34650127763546, -1.6454693871265, -1.5395694593673, -0.764108803748639, -1.94399768088572, -1.48696140453323, -0.45703627635249, 72.9819999999983, 75.0742365591417, 78.5942442002446, 82.0032045920456
2/12/2018, 74.59, 74.63, 72.11, 74.18, 15209268, 1.81138444685126, -1.34800755305274, -1.64478913044059, -1.46007837444484, -0.744496324092157, -1.95337257330259, -1.5802436382871, -0.37312893501549, 72.7954545454529, 74.7346451612923, 78.2571159951165, 81.8764143774769
2/13/2018, 74.01, 74.91, 73.52, 74.7, 8766085, 1.80187514530194, -1.31391639142853, -1.56249880637786, -1.33979799027902, -0.632205184018587, -1.89697543689641, -1.64358999800896, -0.253385438887451, 72.9167272727255, 74.5196129032278, 77.9584029304034, 81.7590660106598
2/14/2018, 74.06, 74.25, 73.16, 74.16, 8225734, 1.82807537333269, -1.23749190672043, -1.68875593947634, -1.39859001942461, -0.71786839939414, -1.8742486156449, -1.68972172153615, -0.184526894108753, 73.3141818181801, 74.2688172043031, 77.649030525031, 81.6281782151152
2/15/2018, 74.27, 75.01, 74.06, 74.88, 7359206, 1.78340766829641, -0.900359382511896, -1.47806963141556, -1.09611375222536, -0.64076235515366, -1.77764784554022, -1.70730694633696, -0.070340899203253, 73.9069090909073, 74.1482795698944, 77.3720244200249, 81.5130296569629
2/16/2018, 75.11, 75.67, 74.82, 75.29, 7002409, 1.7414595283827, -0.757438753280462, -1.29682503819819, -1.10050146896947, -0.521393971462109, -1.64899883368564, -1.6956453238067, 0.0466464901210595, 74.665272727271, 74.0338064516149, 77.1235531135536, 81.409784064507
