Date,FXY_Open,FXY_High,FXY_Low,FXY_Close,FXY_Volume,FXY_ATRPercentOfClose20,FXY_SQN25,FXY_SQN50,FXY_SQN100,FXY_SQN200,FXY_MACD,FXY_MACD_Avg,FXY_MACD_Diff,FXY_LinReg10,FXY_LinReg30,FXY_LinReg90,FXY_LinReg270
10/9/2017, 85.24, 85.38, 85.22, 85.33, 26986, 0.577213568845195, -0.747719428144908, -0.501136573285453, -0.334016185861774, 0, -0.532148567647127, -0.521029558373797, -0.0111190092733297, 85.1729090909072, 84.7467741935466, 86.5438949938949, 87.2138509119746
10/10/2017, 85.48, 85.78, 85.45, 85.47, 46414, 0.573779713795279, -1.36441138837633, -0.542720266258763, -0.21016310689562, 0, -0.493479761557708, -0.515519599010579, 0.0220398374528712, 85.2978181818163, 84.7174408602133, 86.5077338217337, 87.1901538461539
10/11/2017, 85.63, 85.66, 85.35, 85.47, 195557, 0.563225746240533, -1.16074183088166, -0.514531164931616, -0.239097459479496, 0, -0.457559987424318, -0.503927676693327, 0.046367689269009, 85.3512727272709, 84.6770967741918, 86.4714920634919, 87.1668476121413
10/12/2017, 85.53, 85.66, 85.45, 85.58, 59640, 0.546645937188822, -1.53172431991494, -0.395224189796773, -0.212278251607695, 0, -0.415428426636907, -0.486227826682043, 0.0707994000451357, 85.477999999998, 84.6343870967725, 86.4601562881562, 87.1461405937548
10/13/2017, 85.97, 85.99, 85.77, 85.85, 72705, 0.541559246818735, -1.75982675508334, -0.505819236694533, -0.03658621144891, 0, -0.356146680417297, -0.460211597429094, 0.104064917011797, 85.6749090909072, 84.6553333333316, 86.4545958485958, 87.1311826810822
10/16/2017, 85.87, 86.01, 85.56, 85.63, 34556, 0.542078924120273, -1.54540432435775, -0.391936112797641, -0.118919443934707, 0, -0.323192073773242, -0.432807692697924, 0.109615618924681, 85.7356363636344, 84.6425591397832, 86.4369377289376, 87.1120698492463
10/17/2017, 85.46, 85.65, 85.39, 85.61, 33416, 0.530280427038875, -1.22343507701347, -0.37904161770448, -0.0900245355262593, 0, -0.295285278553266, -0.405303209868992, 0.110017931315727, 85.749999999998, 84.7166451612886, 86.4157387057387, 87.0928656716418
10/18/2017, 85.11, 85.18, 84.99, 85.08, 33235, 0.543340879065094, -1.3258478320621, -0.653720491670212, -0.324755408280834, 0.368818008735984, -0.312335108183746, -0.386709589531943, 0.0743744813481972, 85.5705454545434, 84.7100215053746, 86.3799218559218, 87.0634988424216
10/19/2017, 85.34, 85.49, 85.24, 85.37, 64600, 0.538433523384272, -1.13980578245409, -0.647859691647778, -0.353265958192651, 0.363432485512046, -0.298999959225483, -0.369167663470651, 0.0701677042451676, 85.4838181818162, 84.8037849462348, 86.3555164835165, 87.0403126371751
10/20/2017, 84.71, 84.78, 84.57, 84.61, 95669, 0.563382181736787, -1.35797308715374, -1.11690823196045, -0.523064353027913, 0.146363335083853, -0.345771566631669, -0.364488444102854, 0.0187168774711857, 85.1474545454525, 84.8605591397832, 86.3063101343102, 87.0026340191249
10/23/2017, 84.35, 84.75, 84.35, 84.75, 179395, 0.557927764919317, -0.978337956244439, -1.08793388168489, -0.373306462002539, 0.284617042859537, -0.36730748050681, -0.365052251383646, -0.00225522912316423, 84.9089090909071, 84.8718494623638, 86.2428717948718, 86.9682993782879
10/24/2017, 84.31, 84.54, 84.23, 84.36, 81917, 0.56330202907855, -1.1887309862035, -1.07281287108312, -0.663901024124367, 0.160601885478244, -0.411105618380404, -0.374262924782997, -0.0368426935974067, 84.5952727272707, 84.8138709677402, 86.1649621489622, 86.9269704001895
10/25/2017, 84.3, 84.59, 84.24, 84.43, 61314, 0.55542048104244, -0.78790503130087, -0.837029662472722, -0.631982222982676, 0.136403929641173, -0.435151388869642, -0.386440617600326, -0.0487107712693156, 84.3663636363616, 84.7610322580628, 86.0794554334555, 86.8876670887857
10/26/2017, 84.43, 84.43, 84.22, 84.26, 46482, 0.541175452809074, -0.769821425029203, -0.98896870638156, -0.897958504999908, 0.100391094266922, -0.462592931117683, -0.401671080303798, -0.0609218508138857, 84.1574545454525, 84.708301075267, 85.990065934066, 86.8457422891119
