Date,EZA_Open,EZA_High,EZA_Low,EZA_Close,EZA_Volume,EZA_ATRPercentOfClose20,EZA_SQN25,EZA_SQN50,EZA_SQN100,EZA_SQN200,EZA_MACD,EZA_MACD_Avg,EZA_MACD_Diff,EZA_LinReg10,EZA_LinReg30,EZA_LinReg90,EZA_LinReg270
4/11/2017, 55, 55.42, 54.64, 55.3, 416714, 1.91469842584551, -0.19628646893411, 0.217080486711741, 0, 0, -0.695095517255751, -0.244826499784973, -0.450269017470778, 53.8034545454546, 56.2945806451613, 57.482480331263, 57.482480331263
4/12/2017, 56.41, 56.91, 55.91, 56.86, 620656, 1.91063457266609, 0.365088373081964, 0.376266574253951, 0, 0, -0.545432489225099, -0.304947697672998, -0.240484791552101, 54.9240000000001, 56.2434623655914, 57.4898350100604, 57.4898350100604
4/13/2017, 57.08, 57.75, 57.08, 57.18, 360885, 1.88276928491962, 0.641038104254061, 0.437741722209189, 0, 0, -0.396432310691402, -0.323244620276679, -0.0731876904147231, 56.0096363636365, 56.1724301075269, 57.5141901408452, 57.5141901408452
4/17/2017, 57.6, 58.25, 57.6, 58.19, 332891, 1.84952586915482, 0.520352777733557, 0.565130169851389, 0, 0, -0.194606731376496, -0.297517042496643, 0.102910311120147, 57.0694545454547, 56.2875483870969, 57.5920509893456, 57.5920509893456
4/18/2017, 57.29, 57.67, 57.21, 57.27, 312685, 1.87083490151585, 0.150371245220141, 0.330938636273513, 0, 0, -0.107653850359107, -0.259544404069135, 0.151890553710029, 57.5598181818183, 56.2741935483872, 57.6165642354684, 57.6165642354684
4/19/2017, 57.18, 57.4, 56.75, 56.95, 542252, 1.84434730587045, 0.198556932191794, 0.371571711716857, 0, 0, -0.063828614800066, -0.220401246215322, 0.156572631415256, 57.940181818182, 56.2244301075269, 57.6227027027028, 57.6227027027028
4/20/2017, 57.71, 58.1, 57.59, 58.03, 595574, 1.81860761874644, -0.0777614828741431, 0.675569806354539, 0, 0, 0.0573886337410556, -0.164843270224046, 0.222231903965102, 58.3532727272729, 56.2222580645162, 57.6847473684211, 57.6847473684211
4/21/2017, 57.67, 57.78, 57.41, 57.72, 428950, 1.79066372332057, -0.310326709693626, 0.620975114661434, 0, 0, 0.126976066259132, -0.10647940292741, 0.233455469186543, 58.4656363636366, 56.0952903225807, 57.7277101845524, 57.7277101845524
4/24/2017, 59.02, 59.29, 58.94, 59.16, 435953, 1.79241471610142, 0.0217484404732147, 0.746560645067408, 0, 0, 0.294920908644983, -0.0261993406129318, 0.321120249257914, 58.9116363636366, 56.2370537634409, 57.8418481518482, 57.8418481518482
4/25/2017, 59.09, 59.45, 58.97, 59.17, 278633, 1.74306729549319, -0.215759583550345, 0.568952422332313, 0, 0, 0.423938424375841, 0.0638282123848227, 0.360110211991018, 59.0238181818185, 56.4186666666667, 57.9511749432004, 57.9511749432004
