Date,IXJ_Open,IXJ_High,IXJ_Low,IXJ_Close,IXJ_Volume,IXJ_ATRPercentOfClose20,IXJ_SQN25,IXJ_SQN50,IXJ_SQN100,IXJ_SQN200,IXJ_MACD,IXJ_MACD_Avg,IXJ_MACD_Diff,IXJ_LinReg10,IXJ_LinReg30,IXJ_LinReg90,IXJ_LinReg270
12/8/2017, 111.76, 112.54, 111.76, 112.43, 25242, 0.70517854501983, 0.715092648474533, 0.218048674026663, 0.417686720805543, 0.96166891878124, 0.0989126053696907, 0.0630255176990732, 0.0358870876706175, 111.810545454553, 112.235161290323, 113.086713064712, 115.031074353792
12/11/2017, 112.57, 113.05, 112.55, 112.97, 23657, 0.69415829535054, 0.585131794375712, 0.14917437916733, 0.372354238401756, 0.989339948389789, 0.170620324344341, 0.0845444790281268, 0.0860758453162143, 111.978000000007, 112.445677419356, 113.106332112332, 115.064561372666
12/12/2017, 113.03, 113.59, 112.97, 113.44, 34439, 0.684045393992093, 0.874095966584721, 0.0351777107658926, 0.506294476069614, 1.043211749822, 0.262350071981544, 0.12010559761881, 0.142244474362734, 112.361454545462, 112.664172043011, 113.137838827838, 115.105235355648
12/13/2017, 113.56, 114.09, 113.47, 113.73, 23260, 0.676762543038247, 1.0393319512334, 0.0979303388590003, 0.584733396613856, 0.993387762023644, 0.354362266603502, 0.166956931415749, 0.187405335187753, 112.854000000007, 112.892580645162, 113.180385836385, 115.149981327801
12/14/2017, 113.78, 113.93, 112.74, 112.9, 70063, 0.700352469608086, 0.592390060415829, -0.235701434028455, 0.515732611117088, 0.923915808115998, 0.356202450234903, 0.20480603517958, 0.151396415055324, 113.138727272735, 113.02182795699, 113.172862026861, 115.180249991427
12/15/2017, 113.25, 113.88, 113.25, 113.85, 33022, 0.702822170643963, 0.990541964815545, 0.0550657328157726, 0.711402986541864, 0.945592132627019, 0.429368378148567, 0.249718503773377, 0.17964987437519, 113.764727272735, 113.214172043012, 113.206456654456, 115.225549433731
12/18/2017, 114.36, 114.65, 114.11, 114.24, 72369, 0.700415694340201, 1.36206306629489, 0.156711336867477, 0.978359014527993, 1.03226252409139, 0.512910135025095, 0.302356830023721, 0.210553305001374, 114.245818181826, 113.497247311829, 113.223423687423, 115.276441678472
12/19/2017, 114.32, 114.6, 113.98, 114.09, 185773, 0.693441269833931, 1.32738107850458, 0.292993104349725, 0.88657810480348, 1.09971980928269, 0.560552136737201, 0.353995891366417, 0.206556245370784, 114.444909090917, 113.724086021506, 113.236446886446, 115.324026095684
12/20/2017, 114.19, 114.29, 113.43, 113.44, 50960, 0.700449389559111, 1.1406910854139, 0.0551724287519067, 0.732011444323052, 1.02735607841543, 0.539638580964777, 0.391124429286089, 0.148514151678688, 114.246363636371, 113.840344086022, 113.229147741147, 115.36024987556
12/21/2017, 113.12, 113.35, 112.83, 112.98, 67130, 0.695132145636451, 1.10370584711349, -0.129523486780447, 0.696836249534423, 0.922821592936931, 0.480408432357152, 0.408981229900301, 0.0714272024568502, 113.788000000008, 113.900086021506, 113.199843711843, 115.388390770547
