Date,KXI_Open,KXI_High,KXI_Low,KXI_Close,KXI_Volume,KXI_ATRPercentOfClose20,KXI_SQN25,KXI_SQN50,KXI_SQN100,KXI_SQN200,KXI_MACD,KXI_MACD_Avg,KXI_MACD_Diff,KXI_LinReg10,KXI_LinReg30,KXI_LinReg90,KXI_LinReg270
3/26/2018, 97.96, 98.17, 97.36, 98.05, 8075, 1.04198998135591, -1.28385926338607, -1.07094498922563, -0.351217641480409, -0.549671446307156, -1.21830915566721, -0.975225305870756, -0.243083849796458, 97.2039999999975, 99.0275698924738, 100.888449328449, 104.220985649857
3/27/2018, 98.45, 99.03, 97.77, 98.02, 78279, 1.05446604558611, -0.893428288903106, -1.13784257314323, -0.46292537246177, -0.511044477119, -1.22791616356346, -1.0257634774093, -0.202152686154166, 97.1523636363611, 98.7184086021512, 100.610114774115, 104.119321306547
3/28/2018, 98.75, 99.98, 98.75, 99.57, 43407, 1.08457189614274, -0.254300982265898, -0.939123969924955, -0.216677618160719, -0.370579895188098, -1.09780295136179, -1.0401713721998, -0.0576315791619901, 97.7216363636338, 98.6425161290329, 100.386456654457, 104.03779226459
3/29/2018, 100.27, 100.77, 100.23, 100.37, 14241, 1.08190975903144, -0.0606627077792608, -0.935270521576181, -0.115497542357302, -0.322319882356812, -0.919534161729558, -1.01604393010575, 0.0965097683761897, 98.5576363636338, 98.7236774193555, 100.226117216117, 103.967561842285
4/2/2018, 100.24, 100.24, 98.12, 98.67, 22817, 1.15953905329165, -0.688710185599173, -1.12142823885003, -0.3279811504836, -0.497790937718262, -0.90499839592961, -0.99383482327052, 0.0888364273409105, 98.8019999999974, 98.6551182795705, 99.9918803418802, 103.870987563209
4/3/2018, 99.12, 99.74, 99, 99.58, 7684, 1.14522125395534, -0.662544653199462, -1.10019887366396, -0.155510413824325, -0.403404904706118, -0.810704010805125, -0.957208660777441, 0.146504649972316, 99.3221818181792, 98.7676559139791, 99.7970207570206, 103.786871395381
4/4/2018, 99.06, 101.08, 99.06, 101, 5672, 1.17266411728147, 0.0468802354221354, -0.956618371395059, -0.00143125984342684, -0.25560189126492, -0.61431149812006, -0.888629228245965, 0.274317730125905, 100.254545454543, 98.9458709677426, 99.6803736263735, 103.721383353834
4/5/2018, 101.14, 101.49, 100.77, 101.36, 17008, 1.14559118047708, 0.263432893412352, -0.928531530067071, -0.0400761534680283, -0.259089813434001, -0.424724070824126, -0.795848196761597, 0.371124125937471, 101.082363636361, 99.1266236559146, 99.5796776556775, 103.662099767664
4/6/2018, 101.17, 101.88, 100.49, 100.57, 7837, 1.16596664960226, 0.342136901492141, -1.05501471346431, -0.144423418299339, -0.219973894765477, -0.334366695354944, -0.703551896480267, 0.369185201125322, 101.302545454543, 99.2052903225812, 99.4583418803418, 103.59487631543
4/9/2018, 101.45, 101.68, 101.13, 101.13, 3415, 1.15641454220285, 0.289225133252947, -0.940742367390634, -0.142145228370841, -0.14698115287636, -0.215091068473342, -0.605859730878882, 0.39076866240554, 101.39527272727, 99.4218494623662, 99.3579145299145, 103.53800765341
