Date,IJJ_Open,IJJ_High,IJJ_Low,IJJ_Close,IJJ_Volume,IJJ_ATRPercentOfClose20,IJJ_SQN25,IJJ_SQN50,IJJ_SQN100,IJJ_SQN200,IJJ_MACD,IJJ_MACD_Avg,IJJ_MACD_Diff,IJJ_LinReg10,IJJ_LinReg30,IJJ_LinReg90,IJJ_LinReg270
1/30/2018, 163.2, 163.63, 162.04, 162.48, 81877, 0.810739471182581, 0.496130202896367, 1.48738813654847, 2.10778397775074, 0.962206792394844, 1.18338417706406, 1.43227897609022, -0.248894799026163, 164.388, 165.423612903225, 164.142683760685, 157.97665600656
1/31/2018, 163.02, 163.53, 161.51, 162.12, 86122, 0.834212323056122, 0.42248474375818, 1.22401065291633, 2.15210692043985, 0.857207565765141, 0.947822144712944, 1.33538760981476, -0.387565465101819, 163.483454545454, 165.150666666665, 164.184686202687, 158.120844881782
2/1/2018, 161.74, 162.47, 161.17, 162.17, 102537, 0.832338760086117, 0.352605796770165, 1.19131558461629, 2.08090690522538, 0.867648811441478, 0.756452208885577, 1.21960052962893, -0.46314832074335, 162.512909090909, 164.980924731182, 164.230402930404, 158.256009840099
2/2/2018, 160.99, 161.11, 158.52, 158.65, 159938, 0.923298820592545, -0.281981251099255, 0.514776258295494, 1.33579777805086, 0.662399514226296, 0.317100239688813, 1.0391004716409, -0.722000231952091, 160.680727272727, 164.26058064516, 164.130312576313, 158.335973213066
2/5/2018, 157.35, 158.54, 152.82, 152.82, 149702, 1.10134334506385, -0.996371545081721, -0.282581289571792, 0.425037766096846, 0.278769530842356, -0.495806291615651, 0.732119118989593, -1.22792541060524, 157.306909090908, 162.828215053763, 163.76256898657, 158.318670766708
2/6/2018, 150.01, 155.1, 147.83, 154.28, 258020, 1.27198551654799, -0.690285482111027, -0.124030555226864, 0.576696143600527, 0.361143751229407, -1.01058142250528, 0.383579010690618, -1.3941604331959, 155.164727272727, 161.672795698924, 163.485416361417, 158.329274566079
2/7/2018, 154.2, 155.52, 153.66, 154.23, 120243, 1.2690775414535, -0.899343030983035, -0.130411079667656, 0.587002871021486, 0.271283338850571, -1.40636727807404, 0.0255897529376855, -1.43195703101173, 153.507454545454, 160.548021505375, 163.2155995116, 158.343569495695
2/8/2018, 154.51, 154.51, 149.4, 149.42, 126825, 1.41542857554179, -1.32381874202739, -0.561636449151467, 0.0599830814321905, -0.015187867125534, -2.08413263753022, -0.396354725155895, -1.68777791237432, 150.760909090908, 158.876795698924, 162.73700854701, 158.279709443761
2/9/2018, 150.99, 151.83, 146.8, 151, 154389, 1.49714351569259, -1.14363068801955, -0.629975734682406, 0.131311490849011, 0.0531508133732264, -2.4653546982149, -0.810154719767695, -1.6551999784472, 149.52909090909, 157.465376344085, 162.363240537242, 158.243416154162
2/12/2018, 151.49, 153.21, 150.19, 152.45, 144780, 1.50780739472681, -0.982332595475946, -0.620070982747656, 0.259083185314151, 0.143742741581599, -2.62026822498251, -1.17217742081066, -1.44809080417185, 149.316727272726, 156.335182795698, 162.059665445666, 158.220324449911
2/13/2018, 151.8, 152.89, 151.05, 152.63, 113686, 1.49100422891828, -1.05489247493039, -0.662579225905971, 0.234974932498276, 0.240920467186446, -2.69741964082627, -1.47722586481378, -1.22019377601249, 149.469272727272, 155.227268817203, 161.759186813188, 158.203888205549
2/14/2018, 151.54, 155.42, 151.54, 155.33, 123880, 1.51672810588301, -0.673595661416977, -0.357001301242104, 0.497021439118257, 0.347941352327701, -2.51174146644942, -1.68412898514091, -0.827612481308513, 151.019818181817, 154.610860215053, 161.586732600733, 158.21793603936
2/15/2018, 156.31, 156.64, 154.89, 156.64, 76604, 1.48470191427775, -0.472020686909173, -0.269181366897383, 0.563190765665136, 0.422691298538381, -2.23314185442823, -1.79393155899837, -0.439210295429854, 153.403272727272, 154.203913978494, 161.460747252748, 158.255151838185
2/16/2018, 156.16, 158.12, 156.16, 157.36, 67904, 1.46629081380175, -0.646577011566284, -0.0849473082969255, 0.558311195100843, 0.480842041558659, -1.93198099766602, -1.8215414467319, -0.110439550934116, 155.63309090909, 153.938709677418, 161.351699633701, 158.297750444171
2/20/2018, 156.76, 157.38, 155.6, 155.9, 83153, 1.46310934148077, -0.82544356434718, -0.146410496476811, 0.463155377525307, 0.436276304626207, -1.79047911846297, -1.81532898107811, 0.0248498626151461, 156.262909090908, 153.529741935483, 161.190686202687, 158.336025420254
2/21/2018, 156.02, 157.8, 155.26, 155.26, 83640, 1.4774817017906, -0.756138440850222, -0.29744854754746, 0.303442998395555, 0.344766654541293, -1.71026563340689, -1.79431631154387, 0.084050678136979, 156.795636363635, 153.135634408601, 161.001992673994, 158.372674593413
2/22/2018, 155.83, 157.27, 155.25, 155.52, 59870, 1.46620446610731, -0.816926996595713, -0.318690882094271, 0.282821460333805, 0.37636547999267, -1.607189362968, -1.7568909218287, 0.149701558860696, 157.354727272726, 152.790129032257, 160.820146520147, 158.409547902146
2/23/2018, 156.43, 157.51, 156.06, 157.51, 74164, 1.4384668442674, -0.508431191471945, -0.122415195433916, 0.432182974636454, 0.482091890033227, -1.34936961418575, -1.67538666030011, 0.32601704611436, 157.568909090908, 152.698430107526, 160.722676434677, 158.468595872626
2/26/2018, 158.11, 158.38, 156.85, 158.33, 63641, 1.40778290285183, -0.580479244517446, -0.0124206809841182, 0.375424284704636, 0.479328295893127, -1.06658354759924, -1.55362603775993, 0.487042490160696, 157.94109090909, 152.896387096773, 160.658041514042, 158.528196801968
2/27/2018, 158.49, 159.07, 156.05, 156.05, 62576, 1.45369787669403, -0.868815230950773, -0.191670073509748, 0.171432180047767, 0.42458138379714, -1.01475305614144, -1.44585144143624, 0.431098385294791, 157.415818181817, 152.865999999999, 160.482786324787, 158.558715047151
2/28/2018, 156.7, 156.94, 153.9, 153.95, 117477, 1.49858444933549, -1.08738550660315, -0.23292520841914, 0.024492673398977, 0.366041169074522, -1.13010235136809, -1.38270162342261, 0.252599272054513, 156.004727272726, 152.528408602149, 160.222637362638, 158.55490200902
3/1/2018, 154.05, 155.51, 152.77, 153.79, 101249, 1.51421888403952, -1.05084065809886, -0.400340411413185, -0.020630980256618, 0.320849813649234, -1.22036060430781, -1.35023341959965, 0.129872815291835, 155.006363636362, 152.286086021504, 159.962664224665, 158.549259805931
3/2/2018, 152.73, 155.75, 152.24, 155.48, 75647, 1.53574823815035, -0.856560830409523, -0.403636396319287, 0.151526213521597, 0.398876311089661, -1.14235370157618, -1.30865747599496, 0.166303774418772, 154.937818181817, 152.262946236558, 159.791863247864, 158.58255104551
3/5/2018, 154.73, 157.8, 154.73, 157.51, 102115, 1.53761176601, -0.700418132215611, -0.101948750990265, 0.353871247135415, 0.63634267547638, -0.906281584603221, -1.22818229771661, 0.321900713113388, 155.777818181817, 152.648688172042, 159.688571428572, 158.638252289189
3/6/2018, 158.1, 158.85, 156.88, 158.7, 62299, 1.5118447876561, -0.46407739002652, -0.0303559535239917, 0.392456859382249, 0.685695900046316, -0.616068027606133, -1.10575944369451, 0.489691416088381, 156.728727272726, 153.280903225806, 159.645894993896, 158.706485171518
