Date,FXE_Open,FXE_High,FXE_Low,FXE_Close,FXE_Volume,FXE_ATRPercentOfClose20,FXE_SQN25,FXE_SQN50,FXE_SQN100,FXE_SQN200,FXE_MACD,FXE_MACD_Avg,FXE_MACD_Diff,FXE_LinReg10,FXE_LinReg30,FXE_LinReg90,FXE_LinReg270
1/23/2018, 118.08, 118.48, 118.08, 118.4, 465185, 0.502570788600525, 1.99020027017461, 1.93121205529404, 0.557685664679353, 1.52187286724609, 1.02466826538731, 0.826187958771791, 0.198480306615514, 118.779636363634, 117.94169892473, 115.45309157509, 117.539245585875
1/24/2018, 119.23, 119.56, 119.2, 119.42, 488852, 0.521932358916321, 2.47255575571759, 2.03240707760614, 0.904351398919749, 1.65816488987939, 1.13106774144637, 0.887163915306707, 0.243903826139665, 119.142181818179, 118.318387096773, 115.695855921855, 117.625056459276
1/25/2018, 120.19, 120.65, 119.07, 119.46, 1372949, 0.561800637759064, 2.36951180528933, 1.98435050213921, 0.876802022272307, 1.66403456498336, 1.20473037663287, 0.950677207571939, 0.254053169060928, 119.318909090906, 118.665376344085, 115.946012210011, 117.710237196915
1/26/2018, 119.6, 119.87, 119.47, 119.59, 721983, 0.550272338635027, 2.2102614787219, 2.01232826967356, 0.992359485352804, 1.65904889010333, 1.25908451671762, 1.01235866940108, 0.246725847316545, 119.448181818179, 118.974215053762, 116.199536019535, 117.796128872367
1/29/2018, 119, 119.3, 118.8, 119.22, 526997, 0.557513131425053, 1.87005250243192, 1.62649476772371, 0.814565336253554, 1.57162938652168, 1.25780545818895, 1.06144802715865, 0.196357431030303, 119.548363636361, 119.245075268816, 116.44383150183, 117.87535301353
1/30/2018, 119.84, 119.87, 119.23, 119.35, 174419, 0.556291409736658, 1.94834046146775, 1.66797849196953, 0.841286518606993, 1.63300184347663, 1.25283975184098, 1.09972637209512, 0.153113379745863, 119.746181818179, 119.473290322579, 116.667577533576, 117.947934399344
1/31/2018, 119.91, 120.09, 119.29, 119.58, 415049, 0.560910777424875, 2.13999523362779, 1.81612078448445, 0.701506900819639, 1.6298155317293, 1.25301944342772, 1.13038498636164, 0.12263445706608, 119.856545454543, 119.672258064515, 116.907599511598, 118.029356840235
2/1/2018, 119.83, 120.57, 119.77, 120.47, 404602, 0.57001764112429, 2.38655214636403, 1.95217228575913, 0.852406688533339, 1.6194748508471, 1.30987795457484, 1.16628358000428, 0.143594374570565, 120.213090909088, 119.961505376343, 117.185560439559, 118.130661473281
2/2/2018, 119.96, 120.26, 119.48, 120, 272388, 0.584887699707759, 2.02923007010165, 2.02980890681686, 0.90857316585578, 1.59297329048313, 1.30200495955252, 1.19342785591393, 0.108577103638592, 120.233454545452, 120.183806451612, 117.418544566543, 118.218496378297
2/5/2018, 119.57, 119.66, 119.27, 119.29, 530918, 0.589548141224616, 1.51563629141872, 1.75715604787117, 0.741069898959269, 1.52100239590881, 1.2243608186142, 1.19961444845398, 0.0247463701602193, 119.947636363633, 120.302688172042, 117.604168498167, 118.297159491595
