Date,SPY_Open,SPY_High,SPY_Low,SPY_Close,SPY_Volume,SPY_ATRPercentOfClose20,SPY_SQN25,SPY_SQN50,SPY_SQN100,SPY_SQN200,SPY_MACD,SPY_MACD_Avg,SPY_MACD_Diff,SPY_LinReg10,SPY_LinReg30,SPY_LinReg90,SPY_LinReg270
11/22/2017, 260, 260.15, 259.57, 259.76, 45033392, 0.507326977375409, 0.86582914574501, 1.77270770536549, 1.74654883229147, 1.44987201560179, 1.14787189579835, 1.2136372980926, -0.0657654022942535, 259.148000000011, 259.305505376346, 259.048107448109, 257.228813691474
11/24/2017, 260.32, 260.48, 260.16, 260.36, 27856514, 0.494676958291922, 0.973428675054302, 1.89352735889625, 1.74649787711702, 1.41317176167518, 1.21652055083808, 1.2142139486417, 0.00230660219638712, 259.81781818183, 259.525397849464, 259.358747252749, 257.413058196151
11/27/2017, 260.41, 260.75, 260, 260.23, 52274922, 0.484588203580834, 0.685518769260515, 2.07962013531043, 2.01988006415538, 1.36401148053221, 1.24607125719859, 1.22058541035308, 0.0254858468455177, 260.307272727284, 259.712559139787, 259.656354090356, 257.591938634796
11/28/2017, 260.76, 262.9, 260.65, 262.87, 98971719, 0.506520975413506, 1.33972834330765, 2.25779388142854, 2.07639737154351, 1.40551342874223, 1.46562156836774, 1.26959264195601, 0.196028926411729, 261.640000000012, 260.223290322583, 260.054852258854, 257.813627871653
11/29/2017, 263.02, 263.63, 262.2, 262.71, 77512102, 0.508704314135742, 1.21581721730776, 2.18186060408347, 2.03309760989879, 1.35490573325535, 1.60816814756441, 1.33730774307769, 0.270860404486724, 262.54981818183, 260.676817204303, 260.43330891331, 258.028912478825
11/30/2017, 263.76, 266.05, 263.67, 265.01, 127894389, 0.542091335603453, 1.86913996321756, 2.41749308507687, 2.2291262772629, 1.38706288189634, 1.88499902132179, 1.44684599872651, 0.43815302259528, 263.724545454557, 261.39212903226, 260.913995115997, 258.280237348858
12/1/2017, 264.76, 265.31, 260.76, 264.46, 164390902, 0.602082143257421, 1.6763804167348, 2.4515275671734, 2.01570785676792, 1.37231193946075, 2.03653319282603, 1.56478343754641, 0.471749755279614, 264.67781818183, 261.982387096776, 261.357975579977, 258.518084208968
12/4/2017, 266.31, 266.8, 264.08, 264.14, 94040560, 0.624158822690864, 1.28509957304817, 2.38323725523255, 1.94212969837325, 1.3403873003086, 2.10652112556778, 1.67313097515069, 0.433390150417094, 265.050000000012, 262.564107526884, 261.770380952383, 258.74663365247
12/5/2017, 264.43, 265.15, 263.04, 263.19, 77994544, 0.635176282739794, 1.29382307049436, 2.29499148429664, 1.73575446927733, 1.23418852402663, 2.0615655614701, 1.75081789241457, 0.310747669055534, 264.839454545466, 262.913268817206, 262.122405372407, 258.955361702127
12/6/2017, 262.87, 263.73, 262.71, 263.24, 75898566, 0.622676810369139, 1.22250797828399, 2.27695727764607, 1.74369802749258, 1.24670913684662, 2.00683894502356, 1.80202210293637, 0.204816842087191, 264.717454545466, 263.253096774196, 262.461577533579, 259.161557879552
12/7/2017, 263.09, 264.43, 262.94, 264.07, 77218569, 0.617895904053825, 1.30927658736898, 2.25339099660153, 1.80534465173504, 1.27366325093949, 2.00730283304949, 1.84307824895899, 0.1642245840905, 264.658909090921, 263.570473118282, 262.837186813188, 259.378405921476
12/8/2017, 264.99, 265.52, 264.03, 265.51, 76563873, 0.61187670074317, 1.53334747367882, 2.39084240903814, 1.80610792615381, 1.31710161700347, 2.0996628269952, 1.89439516456623, 0.205267662428965, 264.982727272739, 264.035913978497, 263.266136752138, 259.615934120483
12/11/2017, 265.58, 266.38, 265.48, 266.31, 83077533, 0.596434282128358, 1.51943501350722, 2.37461456713156, 1.8666291134459, 1.33263312395729, 2.21191452792704, 1.9578990372384, 0.25401549068864, 265.276000000012, 264.678387096776, 263.706151404153, 259.863063535037
12/12/2017, 266.57, 267.32, 266.35, 266.78, 85195750, 0.584543792600355, 1.52999623943393, 2.28885454253523, 1.93312432387736, 1.38467195376741, 2.31214689158674, 2.02874860810806, 0.283398283478672, 265.928000000012, 265.26101075269, 264.162534798536, 260.114124476987
12/13/2017, 267.06, 267.56, 266.65, 266.75, 102905409, 0.572436226205911, 1.56311542114673, 2.19617946127269, 1.93649314853366, 1.25438815634725, 2.36193410651572, 2.09538570778959, 0.266548398726124, 266.324363636375, 265.801784946239, 264.61363858364, 260.360760719225
12/14/2017, 267.09, 267.22, 265.6, 265.66, 100666692, 0.576535779467761, 1.22977199775963, 1.93927203113845, 1.76471103883033, 1.28432025789047, 2.28707298879323, 2.13372316399032, 0.153349824802906, 266.58381818183, 266.164989247314, 264.989709401711, 260.585568739069
12/15/2017, 265.45, 267.04, 265.39, 266.51, 144610290, 0.576917828279372, 1.59887868311735, 1.85988890311261, 1.83906972557378, 1.31290698433369, 2.27016387389614, 2.16101130597148, 0.109152567924653, 266.991454545466, 266.590000000002, 265.389233211235, 260.820819304152
12/18/2017, 268.1, 268.6, 267.98, 268.2, 83653572, 0.583581848970913, 1.8816925780437, 2.12187885878164, 2.00036862433007, 1.41705364843484, 2.36585999329139, 2.20198104343547, 0.163878949855928, 267.807090909103, 267.229225806454, 265.770964590966, 261.080061053767
12/19/2017, 268.48, 268.53, 267.09, 267.17, 82382876, 0.583489236438593, 1.59789776325998, 2.00844894464622, 1.92561911888413, 1.40589690201861, 2.33170897579998, 2.22792662990837, 0.103782345891614, 267.855454545467, 267.701526881723, 266.09776800977, 261.318535296085
