Date,IJS_Open,IJS_High,IJS_Low,IJS_Close,IJS_Volume,IJS_ATRPercentOfClose20,IJS_SQN25,IJS_SQN50,IJS_SQN100,IJS_SQN200,IJS_MACD,IJS_MACD_Avg,IJS_MACD_Diff,IJS_LinReg10,IJS_LinReg30,IJS_LinReg90,IJS_LinReg270
6/2/2017, 139.01, 140.62, 138.57, 139.26, 119611, 1.21393840617417, -0.356048463200543, 0.534065524019277, 0.0679833392926166, 0, -0.0751167232693319, -0.275699170467718, 0.200582447198386, 138.245818181815, 136.461010752687, 136.906625152625, 136.956707996406
6/5/2017, 139.09, 139.34, 138.22, 138.28, 77502, 1.20191212989314, -0.180434667519716, 0.288571474354653, -0.115808551428209, 0, -0.00789422572003673, -0.222138181518182, 0.214243955798145, 138.326363636361, 136.440795698924, 136.961133089133, 136.976577323223
6/6/2017, 137.66, 138.59, 136.91, 137.8, 66951, 1.20675173334936, -0.335998809901237, 0.343427532441961, -0.194339037139587, 0, 0.00657233761029374, -0.176396077692487, 0.182968415302781, 138.325636363633, 136.463655913978, 136.974622710623, 136.978245067497
6/7/2017, 137.96, 138.48, 137.54, 137.87, 197464, 1.17992216880224, -0.25884350598445, 0.332221219059034, -0.0577472112812941, 0, 0.0234156867994386, -0.136433724794102, 0.15984941159354, 138.365999999997, 136.58552688172, 136.97853968254, 136.98254841998
6/8/2017, 137.86, 140.45, 137.77, 139.76, 78024, 1.20164622168093, 0.235423940496899, 0.408111961360863, 0.0154309544770166, 0, 0.187114428337395, -0.0717240941678023, 0.258838522505197, 138.997999999997, 137.032623655913, 137.019030525031, 137.055256046706
6/9/2017, 140.26, 142.16, 140.02, 141.53, 112393, 1.21207498159415, 0.584905730654243, 0.54240516955813, 0.293971022744384, 0, 0.454432651156708, 0.0335072548970997, 0.420925396259608, 140.143090909088, 137.704774193548, 137.15968986569, 137.189292383292
6/12/2017, 141.68, 142.9, 141.09, 141.42, 92259, 1.21636065293289, 0.380771962016915, 0.392211633033799, 0.25356659821374, 0, 0.6499163567712, 0.15678907527192, 0.49312728149928, 140.996909090906, 138.224924731182, 137.288744810745, 137.315350707851
6/13/2017, 141.78, 142.48, 141.33, 141.93, 83966, 1.19190331403425, 0.556556875801175, 0.410548407558247, 0.420701205737793, 0, 0.83635041265984, 0.292701342749504, 0.543649069910336, 141.623636363633, 138.820494623655, 137.423452991453, 137.455587863464
6/14/2017, 142.04, 142.04, 140.48, 141.38, 62945, 1.1918835442979, 0.422844840645236, 0.707959117170547, 0.315679679224632, 0, 0.92901127795534, 0.419963329790671, 0.509047948164669, 141.73236363636, 139.308688172042, 137.578637362637, 137.572408011178
6/15/2017, 139.85, 141, 139.71, 140.71, 176118, 1.19702274691347, 0.160677114398936, 0.616299664341532, 0.320360970407576, 0, 0.937574505432394, 0.523485564919016, 0.414088940513379, 141.843636363633, 139.643569892472, 137.674808302808, 137.662561403509
6/16/2017, 140.2, 140.43, 138.9, 139.72, 49414, 1.21000155441086, 0.215209682740392, 0.672425192966856, 0.0724073347237651, 0, 0.854624618066197, 0.589713375548452, 0.264911242517745, 141.602181818178, 139.815505376343, 137.713086691087, 137.716086956522
6/19/2017, 140.12, 140.62, 139.57, 140.16, 77416, 1.18335007365276, 0.536697939818639, 0.545408460052654, -0.0226227637340643, 0, 0.814995793285647, 0.634769859095891, 0.180225934189756, 141.291636363633, 140.108064516128, 137.763614163614, 137.783063660478
6/20/2017, 139.64, 139.73, 138.3, 138.4, 62516, 1.20567506507957, 0.0589792847590194, 0.341603581640073, -0.0860621741635517, 0, 0.634261006995644, 0.634668088675842, -0.000407081680197985, 140.174545454542, 140.137827956988, 137.785496947497, 137.788717948718
6/21/2017, 138.55, 138.95, 137.17, 137.37, 62872, 1.21876798104871, -0.0728804587731712, 0.121194623888263, -0.118779017045975, 0, 0.403266390876752, 0.588387749116024, -0.185121358239272, 138.682909090906, 140.054150537634, 137.790478632479, 137.759794901011
6/22/2017, 137.22, 138.42, 136.83, 137.87, 63371, 1.21129360759287, 0.673534464273407, 0.0404263850199975, 0.0988730223228812, 0, 0.257578114534283, 0.522225822199676, -0.264647707665392, 137.769272727269, 140.102559139784, 137.821975579976, 137.74837394958
6/23/2017, 138.17, 139.23, 137.62, 139.01, 53156, 1.19920147611601, 0.854253197727848, 0.453388573786517, 0.100934464247701, 0, 0.231439685895197, 0.46406859493878, -0.232628909043583, 137.706545454542, 140.22264516129, 137.915663003663, 137.774874655647
6/26/2017, 139.46, 139.96, 138.67, 139.5, 53419, 1.1814763249831, 0.798338750990862, 0.734915592538003, 0.158662042311765, 0, 0.247411689828738, 0.420737213916771, -0.173325524088034, 137.928545454542, 140.314258064515, 138.05128937729, 137.816676602087
6/27/2017, 139.1, 139.7, 138.34, 138.4, 109335, 1.18045628589874, 0.341915649352376, 0.402188663940607, 0.120521245560763, 0, 0.16935657393816, 0.370461085921049, -0.201104511982889, 137.977272727269, 140.311978494623, 138.128053724054, 137.821723310676
6/28/2017, 139.03, 140.82, 139.03, 140.52, 106338, 1.19062334521752, 0.64348114043755, 0.629023218922426, 0.116880506063109, 0, 0.275389100531726, 0.351446688843184, -0.0760575883114587, 138.840909090905, 140.55993548387, 138.294866910867, 137.894792814057
6/29/2017, 140.78, 140.89, 138.32, 139.91, 140097, 1.2278684357549, 0.548069884391139, 0.471656582362462, 0.173645847455626, 0, 0.306663711389575, 0.342490093352463, -0.0358263819628874, 139.406727272723, 140.499720430107, 138.463562881563, 137.946430967742
6/30/2017, 140.24, 140.55, 139.42, 139.82, 83912, 1.2076349535413, 0.485001031025908, 0.218964709323406, 0.21527167093823, 0, 0.320492381305087, 0.338090550942987, -0.0175981696379006, 139.787090909087, 140.405870967741, 138.618012210012, 137.99384
7/3/2017, 140.18, 141.75, 140.18, 141.37, 73821, 1.20293515769921, 0.763843453457191, 0.486055388661086, 0.363004550391522, 0, 0.45132119811862, 0.360736680378114, 0.0905845177405062, 140.78545454545, 140.528150537634, 138.82178021978, 138.088615173104
7/5/2017, 140.96, 140.96, 139.28, 140.2, 56337, 1.22686159830058, 0.706967872268855, 0.13400047330697, 0.0778965612518877, 0, 0.455345813022461, 0.379658506906984, 0.0756873061154777, 140.961636363632, 140.541075268816, 138.974612942613, 138.144425442914
7/6/2017, 139.32, 139.47, 137.87, 138.28, 97837, 1.2659509421294, 0.369343872127102, -0.259499429349415, -0.183769755267366, 0, 0.300147482100698, 0.363756301945726, -0.0636088198450285, 140.170363636359, 140.312387096773, 139.072368742369, 138.139458575582
7/7/2017, 138.43, 139.77, 138.06, 139.64, 112204, 1.25216923133609, 0.171445467070724, -0.212783777725655, -0.0761769896694326, 0, 0.283622892551165, 0.347729620066814, -0.0641067275156494, 139.899272727268, 140.241634408601, 139.178752136752, 138.176344663089
7/10/2017, 139.21, 139.96, 138.51, 138.92, 127948, 1.24791438159072, -0.0399977729135433, -0.280705952967113, -0.172541283366113, 0, 0.210008209655655, 0.320185337984582, -0.110177128328928, 139.510909090905, 140.079419354838, 139.311177045177, 138.190380504992
7/11/2017, 138.78, 139.21, 137.79, 139.01, 57309, 1.23582657791564, 0.151771052262573, -0.0171630534782467, -0.234208509375648, 0, 0.157119119527778, 0.287572094293221, -0.130452974765444, 139.256545454541, 139.910774193548, 139.419015873016, 138.20679389313
7/12/2017, 139.87, 140.99, 139.79, 140.12, 51173, 1.23538852388132, 0.433063912563284, 0.0789444464628406, -0.0942012415435119, 0, 0.202438275472815, 0.27054533052914, -0.068107055056325, 139.192363636359, 139.813827956988, 139.561978021978, 138.256064023696
7/13/2017, 140.18, 140.76, 139.62, 140.74, 57727, 1.20894918266263, 0.527761066823779, 0.201686435878392, -0.0243629914750147, 0, 0.285096437247745, 0.273455551872861, 0.0116408853748838, 139.672545454541, 139.76369892473, 139.702666666667, 138.322515991471
7/14/2017, 140.49, 141.41, 140.49, 140.96, 53082, 1.17934259768403, 0.241556467556056, 0.337002872449382, -0.108708231659846, 0, 0.364158000607063, 0.291596041619701, 0.0725619589873612, 140.094727272723, 139.884258064515, 139.826827838828, 138.393767827529
7/17/2017, 140.91, 141.92, 140.47, 141.52, 56605, 1.1671716078368, 0.0163532057506647, 0.452670415077856, -0.0172144366519921, 0, 0.466623236850324, 0.326601480665826, 0.140021756184498, 140.635090909086, 140.093204301074, 139.952556776557, 138.479620915033
7/18/2017, 141.17, 141.25, 140.4, 140.97, 65381, 1.15286386922048, -0.06828587180854, 0.240480787330063, 0.0118999187583695, 0, 0.497709980495586, 0.360823180631778, 0.136886799863808, 141.202727272723, 140.152451612902, 140.031567765568, 138.547303563761
7/19/2017, 141.29, 142.7, 141.29, 142.64, 62510, 1.14304023178499, 0.149002266125614, 0.509516546198101, 0.147241477932684, 0, 0.649613155938482, 0.418581175693119, 0.231031980245363, 142.135090909086, 140.374236559139, 140.194881562882, 138.661516978737
7/20/2017, 142.84, 143.25, 142.41, 142.92, 280311, 1.11314788503163, 0.302395996834043, 0.516106207149348, 0.0676269548054544, 0, 0.783558798739193, 0.491576700302334, 0.29198209843686, 142.647090909086, 140.604989247311, 140.373665445666, 138.780898759254
7/21/2017, 142.77, 143, 141.76, 142.18, 72805, 1.10660107569478, 0.29045591786985, 0.31464947490037, 0.208471905167581, 0, 0.820541182144439, 0.557369596670755, 0.263171585473684, 142.922363636359, 140.835268817203, 140.508703296704, 138.87624049332
7/24/2017, 141.94, 142.02, 141.28, 141.9, 151168, 1.08505788509633, 0.43025254736557, 0.448619100795507, -0.0312148502308034, 0, 0.817828904958844, 0.609461458328373, 0.208367446630472, 142.818363636359, 141.13240860215, 140.671958485959, 138.961306990882
7/25/2017, 142.65, 143.7, 142.34, 143.3, 71587, 1.08353962456672, 0.592822557103741, 0.797745718144693, 0.206707855909277, 0, 0.918064825625891, 0.671182131787876, 0.246882693838014, 143.05345454545, 141.59746236559, 140.902307692308, 139.083576066327
7/26/2017, 143.07, 143.07, 141.79, 142.03, 109080, 1.09172475385757, 0.709245508062968, 0.516478871019604, 0.157232855026762, 0, 0.884824423577271, 0.713910590145755, 0.170913833431516, 142.837818181813, 141.923247311827, 141.086056166057, 139.167452969566
7/27/2017, 142.21, 142.4, 140.86, 141.59, 67230, 1.09474386221394, 0.841906720128944, 0.494291309084863, 0.235799872874372, 0, 0.813598189224905, 0.733848109961585, 0.0797500792633197, 142.489999999995, 142.155892473117, 141.227914529915, 139.237106643357
7/28/2017, 141.26, 141.59, 140.56, 141.28, 40061, 1.07874111182282, 0.682178401653703, 0.958555380145642, 0.308728476020115, 0, 0.723793040496105, 0.731837096068489, -0.00804405557238441, 142.032727272722, 142.303182795698, 141.27896947497, 139.296548850575
