Date,EFG_Open,EFG_High,EFG_Low,EFG_Close,EFG_Volume,EFG_ATRPercentOfClose20,EFG_SQN25,EFG_SQN50,EFG_SQN100,EFG_SQN200,EFG_MACD,EFG_MACD_Avg,EFG_MACD_Diff,EFG_LinReg10,EFG_LinReg30,EFG_LinReg90,EFG_LinReg270
11/6/2017, 79.43, 79.65, 79.33, 79.61, 75987, 0.48503004636031, 1.75249819665151, 1.87835964491095, 1.34857789076521, 1.9918388025469, 0.491423024585544, 0.456204261835613, 0.0352187627499308, 79.7032727272721, 79.5683440860191, 79.2199120879123, 80.0301099760923
11/7/2017, 79.48, 79.55, 79.15, 79.25, 150346, 0.491893752570436, 1.22235899123252, 1.68050093888947, 1.07501548675158, 1.91129370330882, 0.469808947831666, 0.458925199034823, 0.0108837487968426, 79.6827272727267, 79.5750537634384, 79.2789059829062, 80.0826085271319
11/8/2017, 79.56, 79.79, 79.37, 79.69, 87552, 0.498600212029699, 1.41748432904191, 1.99621096434844, 1.09726858138119, 1.88400166668379, 0.482620609089096, 0.463664281045678, 0.0189563280434183, 79.7370909090903, 79.6208602150513, 79.3474798534801, 80.1421979006658
11/9/2017, 78.82, 79.13, 78.63, 79.12, 106734, 0.544069493829808, 1.06124063321079, 1.70103386933583, 1.48086463546028, 1.83951568545036, 0.441688199999177, 0.459269064836378, -0.0175808648372006, 79.5541818181812, 79.5907096774169, 79.3867496947499, 80.1902426753479
11/10/2017, 78.97, 78.99, 78.77, 78.85, 98628, 0.540829923071956, 0.937726277001937, 1.30874380427354, 1.38442405625371, 1.7954077889562, 0.383046703418756, 0.444024592552854, -0.0609778891340973, 79.2965454545448, 79.5398279569867, 79.3986910866913, 80.2324469020989
11/13/2017, 78.24, 78.69, 78.21, 78.65, 84686, 0.555781531627623, 0.773349488567972, 1.12241642879217, 1.33905830381861, 1.83007204530005, 0.316782890389433, 0.41857625212017, -0.101793361730736, 78.9918181818176, 79.4581505376319, 79.3988473748476, 80.2702000830222
11/14/2017, 78.61, 78.74, 78.43, 78.7, 69433, 0.547352053232362, 0.284318947503625, 1.42398373959737, 1.26825235920642, 1.80654632952208, 0.265245340119847, 0.387910069720105, -0.122664729600258, 78.7869090909085, 79.3897419354814, 79.4021074481076, 80.3081077745785
11/15/2017, 78.1, 78.34, 77.94, 78.18, 68046, 0.572048813762056, -0.319960640363649, 0.919903537426788, 1.06401789166915, 1.69562662154524, 0.18036269714375, 0.346400595204834, -0.166037898061084, 78.4552727272721, 79.2560430107502, 79.3807912087914, 80.3359202641557
11/16/2017, 78.98, 79.2, 78.93, 79.17, 94625, 0.60106905957966, 0.308890571456958, 1.01398264041722, 1.33200996541389, 1.79521746141925, 0.190778145556848, 0.315276105275237, -0.124497959718389, 78.5534545454539, 79.2320430107502, 79.4164615384617, 80.3808657536462
11/17/2017, 79.04, 79.12, 78.81, 78.86, 144209, 0.596085538607349, -0.160114830661606, 0.805976536554947, 1.154299570755, 1.71483611730486, 0.17203494251234, 0.286627872722658, -0.114592930210317, 78.5629090909085, 79.1511182795674, 79.4392429792433, 80.4194386611148
